,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.66,0.64,0.4,0.69,0.87,0.11,0.88,0.86,0.79,0.86,0.78,0.84,1.07,0.73,0.26,0.48
bdbbasic.csv,0.54,0.33,0.51,0.62,0.8,0.51,0.88,0.62,0.05,0.84,0.49,0.63,0.68,0.59,0.52,0.54
crux-framework.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
echongl.csv,0.78,0.71,0.67,0.87,0.76,0.85,0.58,1.01,0.66,0.03,0.74,0.72,0.36,0.93,1.11,0.88
etherboot.csv,0.67,0.72,1.0,0.77,0.09,0.93,0.69,0.92,0.64,0.72,0.81,0.74,0.78,0.88,0.67,1.03
freebios.csv,0.59,0.57,0.58,0.8,0.7,0.64,0.06,0.88,0.63,0.74,0.66,0.71,0.72,0.59,0.42,0.73
gebr.csv,0.89,0.84,0.83,0.55,0.67,0.85,0.92,0.04,0.78,0.92,0.82,0.71,0.7,0.81,0.92,0.71
glelite.csv,1.0,0.99,1.0,0.97,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
gnukeda.csv,0.76,0.4,0.58,0.08,0.68,0.63,0.75,0.48,0.48,0.6,0.66,0.67,1.19,0.6,0.7,0.64
google-gears.csv,0.67,0.43,0.49,0.58,0.78,0.69,0.91,0.83,0.49,0.86,0.76,0.0,0.71,0.53,0.44,0.56
gstreamer.csv,0.52,0.48,0.66,0.63,0.68,0.64,0.79,0.53,0.65,0.74,0.58,0.66,0.57,0.02,0.47,0.54
jnode.csv,0.97,1.03,0.19,1.0,0.96,1.0,1.0,0.87,1.0,1.0,0.95,0.95,1.0,1.0,1.0,0.95
metacosm.csv,0.52,0.4,0.59,0.58,0.82,0.52,0.84,0.86,0.58,0.53,0.61,0.75,0.98,0.78,0.72,0.05
openmeetings.csv,0.7,0.14,0.88,0.8,0.8,0.52,0.85,0.85,0.63,0.89,0.64,0.73,1.01,0.58,0.41,0.51
tradelink.csv,0.69,0.83,0.94,0.59,0.84,0.84,0.94,0.93,0.7,0.67,0.11,0.65,0.79,0.63,0.41,0.78
wxcrp.csv,0.07,0.8,0.73,0.85,0.92,0.88,0.98,0.86,0.69,0.88,0.77,0.82,0.83,0.69,0.77,0.81
