,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.0,0.0,0.43,0.45,0.27,0.66,0.52,0.72,0.56,0.16,0.68,0.0,0.02,0.6
avifile.csv,0.96,0.56,0.51,0.0,0.47,0.4,0.56,0.41,0.19,0.43,0.09,0.53,0.75,0.29
delphilhlplib.csv,0.23,0.4,0.34,0.54,0.82,0.62,0.45,0.25,0.7,0.41,0.36,0.0,0.13,0.56
fluidium.csv,0.0,0.3,0.19,0.36,0.07,0.4,0.6,0.0,0.0,0.05,0.0,0.29,0.28,0.0
gnome-jabber.csv,0.0,0.46,0.6,0.16,0.41,0.13,0.46,0.38,0.39,0.49,0.63,0.66,0.71,0.65
ipfilter.csv,0.7,0.43,0.0,0.44,0.0,0.09,0.44,0.31,0.3,0.42,0.27,0.0,0.91,0.33
jparsec.csv,0.23,0.0,0.55,0.52,0.0,0.56,0.33,0.53,0.58,0.7,0.41,0.0,0.48,0.61
loki-lib.csv,0.23,0.17,0.49,0.24,0.52,0.13,0.17,0.21,0.68,0.37,0.71,0.0,0.26,0.47
mumble.csv,0.0,0.09,0.72,0.0,0.37,0.54,0.0,0.56,0.83,0.62,0.36,0.0,0.2,0.0
opengs.csv,0.62,0.53,0.58,0.65,0.49,0.76,0.54,0.43,0.66,0.65,0.42,0.33,0.46,0.54
owfs.csv,0.62,0.57,0.36,0.2,0.52,0.21,0.42,0.65,0.68,0.4,0.46,0.51,0.57,0.79
rectracker.csv,0.13,0.36,0.86,0.36,0.0,0.05,0.36,0.48,0.65,0.0,0.37,0.0,0.2,0.13
rockbox.csv,0.0,0.11,0.38,0.04,0.02,0.25,0.17,0.46,0.44,0.27,0.25,0.18,0.18,0.74
zealos.csv,0.0,0.0,0.02,0.67,0.02,0.0,0.0,0.0,0.0,0.13,0.04,0.01,0.09,0.0
