,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.9,0.7,0.92,0.5,0.62,0.81,0.65,0.55,0.71,0.52
ibatisdb.csv,0.83,0.73,0.92,0.46,0.94,0.81,0.84,0.59,0.69,0.62
jmol.csv,0.57,0.41,0.38,0.47,0.46,0.42,0.58,0.46,0.42,0.43
liferea.csv,0.49,0.38,0.44,0.55,0.47,0.41,0.67,0.52,0.6,0.86
log4net.csv,0.67,0.0,0.57,0.34,0.95,0.74,0.37,0.54,0.89,0.68
pclasses.csv,0.74,0.8,0.9,0.83,0.83,0.96,0.67,0.75,0.75,0.73
psrchive.csv,0.65,0.85,0.5,0.4,0.63,0.93,0.59,0.48,0.63,0.69
re2c.csv,0.91,0.86,0.57,0.5,0.93,0.95,0.42,0.78,0.89,0.49
tycho.csv,0.75,0.89,0.83,0.67,0.87,0.77,0.53,0.76,0.97,0.59
xfce.csv,0.47,0.39,0.44,0.58,0.41,0.46,0.5,0.42,0.53,0.55
