,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.31,0.67,0.41,0.18,0.72,0.25,0.52,0.39,0.67,0.57
ibatisdb.csv,0.21,0.0,0.09,0.45,0.38,0.28,0.16,0.47,0.53,0.81
jmol.csv,0.53,0.09,0.35,0.53,0.09,0.68,0.53,0.0,0.58,0.21
liferea.csv,0.76,0.35,0.56,0.77,0.37,0.56,0.0,0.64,0.2,0.17
log4net.csv,0.22,0.2,0.39,0.55,0.97,0.3,0.51,0.49,0.23,0.2
pclasses.csv,0.74,0.2,0.25,0.18,0.66,0.27,0.42,0.02,0.34,0.25
psrchive.csv,0.31,0.7,0.89,0.61,0.69,0.13,0.35,0.56,0.47,0.2
re2c.csv,0.21,1.0,0.56,0.41,0.65,0.18,0.38,0.39,0.26,0.56
tycho.csv,0.31,0.71,0.47,0.35,0.37,0.29,0.75,0.28,0.31,0.29
xfce.csv,0.78,0.28,0.62,0.49,0.59,0.51,0.57,0.68,0.54,0.38
