,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,jmonkeyengine.csv,mediate.csv,e-bio-flow.csv,tmva.csv,matrex.csv,freedom-erp.csv,jchassis.csv,emono.csv,thedata.csv
array4j.csv,0.77,0.54,0.79,0.81,1.01,0.88,0.87,0.66,0.92,0.8,0.89,1.0,0.74,0.81,0.91,0.8,1.1,0.74,0.84
dxengine.csv,0.62,0.89,0.45,0.94,0.41,1.02,1.0,1.07,0.96,0.94,1.0,0.97,0.89,0.86,0.56,1.0,1.02,0.82,0.89
e-bio-flow.csv,0.91,0.83,0.83,0.54,0.82,0.55,0.94,0.53,0.79,0.8,0.61,0.65,0.34,0.72,0.95,0.68,1.0,0.93,0.88
emono.csv,0.92,0.91,0.56,0.87,0.88,0.82,0.83,0.77,0.89,0.77,0.77,0.86,0.94,0.78,0.81,0.86,1.0,0.54,0.59
freedom-erp.csv,0.72,0.95,0.71,0.68,0.87,0.79,0.64,0.45,0.69,0.99,0.98,0.97,0.74,0.82,1.0,0.4,1.0,1.0,0.8
haggle.csv,0.58,0.94,0.68,0.71,0.68,0.89,0.89,1.0,0.75,0.61,0.96,0.95,0.89,0.64,1.0,0.99,1.02,0.64,0.77
jbpm.csv,0.81,0.89,0.96,0.95,0.91,1.0,0.23,1.0,0.87,0.89,0.89,1.0,0.84,1.0,0.96,0.83,1.0,1.0,0.75
jchassis.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.96,1.0,0.08,1.0,1.0
jmoney.csv,0.22,0.66,0.42,0.48,0.79,0.61,0.59,0.72,0.6,0.63,0.78,0.67,0.72,0.73,0.77,0.62,1.02,0.85,0.91
jmonkeyengine.csv,1.05,0.89,0.76,0.98,0.63,0.91,0.78,0.89,0.81,0.83,0.57,0.8,0.77,1.01,0.96,1.0,0.88,0.99,0.96
jsidplay2.csv,0.51,0.94,0.88,0.33,1.03,0.83,0.91,0.68,0.89,0.88,0.79,0.67,0.72,0.8,0.56,0.87,1.02,0.87,1.02
log4net.csv,0.36,0.63,0.79,0.76,0.78,0.5,0.76,0.12,0.84,0.93,1.0,0.63,0.66,0.87,0.51,0.68,1.0,0.68,0.9
matrex.csv,0.37,0.71,0.67,0.64,0.38,0.72,0.55,0.36,1.0,0.92,0.95,0.54,0.73,0.96,0.23,0.64,1.0,0.81,1.0
mediate.csv,0.59,0.96,0.61,0.69,0.51,0.47,0.64,0.56,0.73,0.62,0.64,0.6,0.8,0.72,0.84,0.69,0.59,0.65,1.0
piccolo2d.csv,0.41,0.75,0.71,0.6,0.45,0.29,0.66,0.38,0.76,0.64,0.68,0.47,0.54,0.68,0.56,0.54,1.0,0.76,0.82
pustefix.csv,0.95,0.84,0.57,0.93,0.8,0.81,0.65,0.87,0.5,0.63,0.72,0.95,0.77,0.58,1.01,0.87,0.68,0.61,0.8
sblim.csv,0.33,0.88,0.58,0.82,0.33,0.41,0.73,1.0,0.76,0.94,0.75,0.9,0.72,0.87,0.67,0.71,1.0,0.76,0.93
thedata.csv,0.69,0.81,0.57,0.6,0.7,0.87,0.99,0.73,0.8,0.58,0.78,0.75,0.83,0.72,0.78,0.86,1.08,0.64,0.06
tmva.csv,0.72,0.86,0.75,0.9,1.09,1.0,0.96,0.78,0.92,0.71,1.01,0.97,0.93,0.37,0.99,1.0,1.24,0.56,0.94
