,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,jmonkeyengine.csv,mediate.csv,e-bio-flow.csv,tmva.csv,matrex.csv,freedom-erp.csv,jchassis.csv,emono.csv,thedata.csv
array4j.csv,0.79,0.69,0.77,0.6,0.51,0.48,0.52,0.52,0.43,0.77,0.4,0.32,0.48,0.97,0.45,0.42,0.6,0.87,0.38
dxengine.csv,0.67,0.91,0.53,0.57,0.63,0.93,0.97,0.9,0.8,0.9,0.0,0.44,0.93,0.82,0.57,0.0,0.92,0.6,0.61
e-bio-flow.csv,0.88,0.56,0.85,0.5,0.57,0.5,0.46,0.42,0.9,0.72,0.52,0.62,0.58,0.57,0.9,0.39,0.0,0.44,0.38
emono.csv,0.94,0.46,0.49,0.74,0.54,0.52,0.51,0.65,0.48,0.53,0.55,0.38,0.59,0.6,0.42,0.57,0.5,0.55,0.95
freedom-erp.csv,0.77,0.9,0.63,0.65,0.9,0.94,0.76,0.62,0.67,0.5,0.86,0.0,0.62,0.77,0.0,0.35,0.0,0.44,0.63
haggle.csv,0.47,0.41,0.34,0.4,0.49,0.39,0.44,0.48,0.51,0.4,0.35,0.36,0.41,0.42,0.34,0.91,0.52,0.4,0.33
jbpm.csv,0.89,0.82,0.0,0.67,0.83,0.5,0.76,0.75,0.86,0.88,0.75,0.0,0.91,0.0,0.86,0.96,0.0,0.0,0.75
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.83,0.0,0.86,0.0,0.0
jmoney.csv,0.42,0.45,0.35,0.4,0.49,0.37,0.44,0.49,0.48,0.38,0.55,0.35,0.35,0.38,0.95,0.55,0.54,0.43,0.39
jmonkeyengine.csv,0.62,0.47,0.42,0.73,0.58,0.67,0.52,0.55,0.45,0.51,0.61,0.51,0.54,0.45,0.56,0.67,0.57,0.45,0.43
jsidplay2.csv,0.48,0.83,0.93,0.41,0.95,0.38,0.56,0.93,0.86,0.96,0.42,0.5,0.76,0.97,0.51,0.31,0.67,0.93,0.36
log4net.csv,0.45,0.38,0.93,0.73,0.92,0.53,0.71,0.95,0.79,0.93,0.8,0.43,0.47,0.94,0.56,0.54,0.0,0.71,0.41
matrex.csv,0.48,0.88,0.9,0.56,0.53,0.76,0.79,0.89,0.0,0.83,0.88,0.49,0.6,0.83,0.45,0.68,0.0,0.71,0.0
mediate.csv,0.46,0.42,0.44,0.52,0.47,0.49,0.58,0.58,0.54,0.42,0.62,0.45,0.47,0.41,0.41,0.39,0.61,0.51,0.67
piccolo2d.csv,0.56,0.37,0.57,0.5,0.4,0.49,0.58,0.67,0.65,0.41,0.5,0.47,0.46,0.48,0.34,0.47,0.0,0.55,0.48
pustefix.csv,0.6,0.61,0.43,0.76,0.61,0.52,0.8,0.48,0.64,0.63,0.42,0.8,0.46,0.49,0.67,0.46,0.66,0.57,0.41
sblim.csv,0.37,0.83,0.54,0.83,0.62,0.55,0.97,0.67,0.71,0.9,0.73,0.75,0.45,0.44,0.88,0.62,0.0,0.54,0.43
thedata.csv,0.41,0.47,0.43,0.41,0.51,0.47,0.52,0.51,0.48,0.43,0.62,0.45,0.48,0.43,0.4,0.32,0.67,0.49,0.88
tmva.csv,0.37,0.41,0.49,0.37,0.55,0.36,0.41,0.44,0.46,0.46,0.35,0.31,0.41,0.5,0.34,0.31,0.46,0.6,0.34
