,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.54,0.2,0.26,0.22,0.5,0.23,0.99,0.29,0.35,0.57,0.6
bscwweasel.csv,0.0,0.0,0.23,0.95,0.31,0.16,0.05,0.06,0.08,0.2,0.04
capcode.csv,0.02,0.21,0.21,0.2,0.0,0.96,0.16,0.37,0.2,0.25,0.16
lamp.csv,0.02,0.93,0.25,0.19,0.4,0.25,0.1,0.18,0.48,0.44,0.13
nodal.csv,0.06,0.18,0.34,0.19,0.54,0.18,0.51,0.17,0.98,0.42,0.41
pydev.csv,0.66,0.11,0.43,0.2,0.59,0.2,0.5,0.33,0.3,1.0,0.38
retromenu.csv,0.02,0.19,0.36,0.14,0.98,0.17,0.13,0.16,0.31,0.55,0.14
smbopensoft.csv,0.96,0.22,0.45,0.28,0.54,0.19,0.38,0.33,0.35,0.36,0.44
stuproa-cims.csv,0.65,0.24,0.36,0.21,0.49,0.25,0.64,0.96,0.37,0.56,0.75
thout.csv,0.19,0.15,0.95,0.15,0.45,0.23,0.78,0.39,0.49,0.35,0.39
uface.csv,0.66,0.18,0.39,0.31,0.52,0.25,0.81,0.45,0.4,0.47,1.0
