,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.14,0.25,0.42,0.55,0.47,0.7,0.05,0.39,0.46,0.42,0.56
bscwweasel.csv,0.0,0.01,0.02,0.01,0.02,0.15,0.0,0.04,0.0,0.0,0.0
capcode.csv,0.03,0.22,0.34,0.23,0.02,0.0,0.21,0.25,0.48,0.29,0.33
lamp.csv,0.0,0.01,0.12,0.06,0.07,0.13,0.0,0.03,0.03,0.09,0.06
nodal.csv,0.01,0.77,0.44,0.45,0.31,0.39,0.21,0.28,0.0,0.41,0.09
pydev.csv,0.32,0.17,0.22,0.3,0.44,0.59,0.44,0.47,0.37,0.0,0.43
retromenu.csv,0.0,0.48,0.07,0.04,0.0,0.14,0.08,0.01,0.16,0.36,0.0
smbopensoft.csv,0.01,0.4,0.24,0.16,0.44,0.37,0.28,0.25,0.24,0.33,0.07
stuproa-cims.csv,0.98,0.29,0.65,0.56,0.89,0.51,0.64,0.0,0.76,0.61,0.72
thout.csv,0.16,0.55,0.01,0.37,0.6,0.7,0.64,0.89,0.51,0.57,0.8
uface.csv,1.0,0.98,0.86,0.6,0.87,0.9,0.85,0.75,0.67,0.88,0.0
