,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.47,0.4,0.39,0.56,0.64,0.54,0.98,0.38,0.49,0.69,0.52
bscwweasel.csv,0.0,0.0,0.17,0.96,0.23,0.2,0.04,0.05,0.05,0.13,0.02
capcode.csv,0.01,0.4,0.29,0.34,0.0,0.93,0.11,0.42,0.29,0.26,0.12
lamp.csv,0.01,0.94,0.24,0.18,0.34,0.29,0.07,0.13,0.4,0.38,0.09
nodal.csv,0.04,0.53,0.51,0.47,0.63,0.36,0.41,0.19,0.97,0.49,0.31
pydev.csv,0.66,0.17,0.52,0.39,0.74,0.48,0.42,0.46,0.38,1.0,0.32
retromenu.csv,0.01,0.56,0.31,0.12,0.96,0.2,0.09,0.11,0.3,0.64,0.09
smbopensoft.csv,0.95,0.58,0.56,0.4,0.67,0.36,0.3,0.37,0.39,0.4,0.35
stuproa-cims.csv,0.09,0.53,0.58,0.56,0.38,0.56,0.52,0.94,0.51,0.68,0.59
thout.csv,0.14,0.49,0.94,0.34,0.59,0.54,0.64,0.36,0.7,0.44,0.3
uface.csv,0.0,0.09,0.44,0.75,0.43,0.35,0.45,0.59,0.57,0.38,0.99
