,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.71,0.73,0.73,0.6,0.43,0.45,0.46,0.62,0.42,0.47,0.62
bscwweasel.csv,0.0,0.0,0.89,0.95,0.8,0.85,0.67,0.88,0.0,0.75,0.5
capcode.csv,0.75,0.97,0.87,0.97,0.0,0.91,0.94,0.97,0.56,0.82,0.97
lamp.csv,0.0,0.93,0.89,0.92,0.89,0.92,0.83,0.91,0.9,0.83,0.91
nodal.csv,0.75,0.45,0.6,0.59,0.44,0.47,0.73,0.8,0.73,0.53,0.74
pydev.csv,0.41,0.88,0.5,0.73,0.41,0.5,0.58,0.56,0.58,0.61,0.78
retromenu.csv,0.0,0.46,0.91,0.88,0.55,0.92,0.91,0.86,0.81,0.56,0.88
smbopensoft.csv,0.44,0.43,0.46,0.7,0.37,0.57,0.69,0.71,0.61,0.53,0.64
stuproa-cims.csv,0.28,0.62,0.6,0.53,0.35,0.4,0.47,0.8,0.34,0.42,0.45
thout.csv,0.96,0.67,0.74,0.85,0.44,0.48,0.5,0.4,0.52,0.51,0.74
uface.csv,0.27,0.4,0.46,0.44,0.33,0.35,0.42,0.35,0.36,0.32,0.37
