,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.42,0.36,0.36,0.6,0.67,0.67,0.99,0.35,0.48,0.72,0.55
bscwweasel.csv,0.0,0.0,0.14,0.95,0.19,0.17,0.03,0.04,0.04,0.11,0.02
capcode.csv,0.01,0.36,0.25,0.3,0.0,0.92,0.09,0.38,0.26,0.22,0.1
lamp.csv,0.01,0.93,0.2,0.15,0.29,0.25,0.06,0.11,0.35,0.33,0.07
nodal.csv,0.03,0.79,0.5,0.45,0.62,0.33,0.37,0.16,0.96,0.47,0.27
pydev.csv,0.65,0.14,0.48,0.35,0.81,0.5,0.39,0.45,0.35,1.0,0.29
retromenu.csv,0.01,0.57,0.27,0.1,0.95,0.17,0.07,0.09,0.26,0.64,0.07
smbopensoft.csv,0.94,0.57,0.52,0.35,0.71,0.33,0.26,0.33,0.35,0.36,0.3
stuproa-cims.csv,0.97,0.5,0.7,0.6,0.95,0.58,0.58,0.93,0.7,0.83,0.82
thout.csv,0.12,0.5,0.93,0.3,0.67,0.67,0.79,0.82,0.78,0.44,0.34
uface.csv,1.0,1.0,0.93,0.95,1.0,0.92,0.89,0.89,0.7,0.83,0.99
