,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.6,0.69,0.76,0.68,0.57,0.78,0.05,0.76,0.7,0.5,0.72
bscwweasel.csv,1.0,1.0,0.86,0.05,0.81,0.85,0.97,0.96,0.96,0.89,0.98
capcode.csv,0.99,0.68,0.82,0.74,1.0,0.08,0.93,0.67,0.88,0.83,0.96
lamp.csv,0.99,0.07,0.8,0.85,0.72,0.76,0.94,0.89,0.65,0.67,0.93
nodal.csv,0.97,0.8,0.66,0.71,0.49,0.77,0.67,0.88,0.04,0.67,0.74
pydev.csv,0.47,0.87,0.57,0.71,0.48,0.77,0.75,0.72,0.75,0.0,0.83
retromenu.csv,0.99,0.64,0.73,0.9,0.05,0.85,0.93,0.91,0.76,0.51,0.93
smbopensoft.csv,0.06,0.59,0.54,0.67,0.53,0.76,0.79,0.72,0.69,0.72,0.71
stuproa-cims.csv,0.98,0.58,0.71,0.69,0.89,0.66,0.77,0.07,0.82,0.63,0.74
thout.csv,0.89,0.74,0.07,0.79,0.69,0.78,0.67,0.91,0.55,0.79,1.03
uface.csv,1.0,0.98,0.87,0.6,0.87,0.91,0.85,0.76,0.73,0.9,0.01
