,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.28,0.53,1.0,0.11,0.77,0.41,0.68,0.24,0.41,0.84
pclasses.csv,1.0,0.47,0.0,0.5,0.38,0.0,0.1,0.0,0.38,0.0
pfaedit.csv,0.29,0.53,0.29,0.2,1.0,0.0,0.44,0.29,0.42,0.35
theresa.csv,0.0,0.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01
thrust.csv,0.06,0.18,0.4,0.07,0.67,0.91,0.27,0.25,0.41,0.7
tktoolkit.csv,0.31,0.47,0.21,0.12,0.75,0.42,0.67,0.9,0.42,0.35
trinitycore.csv,0.27,0.47,0.26,0.0,0.58,0.0,0.21,0.23,0.97,0.16
tzod.csv,0.48,1.0,0.53,0.33,0.76,0.15,0.49,0.22,0.39,0.57
yaprm.csv,0.24,0.37,0.21,0.17,0.51,0.28,0.97,0.31,0.34,0.44
zemljanka.csv,0.26,0.52,0.74,0.12,0.76,0.42,0.6,0.23,0.39,1.0
