,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.51,0.63,1.0,0.09,0.5,0.59,0.59,0.4,0.63,0.65
pclasses.csv,1.0,0.54,0.0,0.97,0.32,0.0,0.06,0.0,0.48,0.0
pfaedit.csv,0.22,0.49,0.2,0.68,1.0,0.0,0.42,0.58,0.56,0.26
theresa.csv,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
thrust.csv,0.11,0.18,0.36,0.36,0.56,0.94,0.25,0.43,0.54,0.49
tktoolkit.csv,0.41,0.42,0.15,0.49,0.0,0.0,0.3,0.86,0.6,0.25
trinitycore.csv,0.4,0.54,0.18,0.0,0.5,0.0,0.17,0.26,0.96,0.11
tzod.csv,0.73,1.0,0.47,0.94,0.71,0.14,0.49,0.51,0.58,0.45
yaprm.csv,0.47,0.43,0.18,0.78,0.46,0.42,0.96,0.55,0.47,0.34
zemljanka.csv,0.42,0.3,0.0,0.3,0.0,0.45,0.59,0.24,0.27,1.0
