,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.8,0.6,0.0,0.98,0.83,0.64,0.76,0.88,0.61,0.56
pclasses.csv,0.0,0.38,0.0,0.12,0.26,0.0,0.03,0.0,0.28,0.0
pfaedit.csv,0.02,0.12,0.0,0.3,0.0,0.02,0.32,0.35,0.31,0.22
theresa.csv,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
thrust.csv,0.38,0.29,0.52,0.48,0.71,0.04,0.39,0.26,0.31,0.67
tktoolkit.csv,0.88,0.85,0.03,0.84,1.0,1.0,0.92,0.0,0.73,0.0
trinitycore.csv,0.27,0.38,0.0,0.22,0.2,0.04,0.13,0.1,0.0,0.0
tzod.csv,0.25,0.0,0.31,0.24,0.54,0.17,0.63,0.79,0.49,0.11
yaprm.csv,0.45,0.44,0.34,0.58,0.54,0.55,0.0,0.28,0.4,0.11
zemljanka.csv,0.86,0.92,1.0,0.92,1.0,0.85,0.63,0.94,0.93,0.0
