,guineu.csv,x4x.csv,amanda.csv,arsenal-1.csv,mvdsv.csv,fm-classic.csv,bnetd.csv,libmesh.csv,cascading.csv,twostep.csv,gnome-jabber.csv,free-evolution.csv,ipfilter.csv,l2j.csv,jruby.csv,stajistics.csv
amanda.csv,0.38,0.55,0.71,0.89,0.67,0.33,0.26,0.27,0.73,0.15,0.01,0.45,0.04,0.5,0.7,0.4
arsenal-1.csv,0.15,0.17,0.04,0.67,0.0,0.0,0.05,0.04,0.03,0.12,0.0,0.03,0.15,0.24,0.16,0.0
bnetd.csv,0.96,0.86,0.85,0.7,1.0,1.0,0.74,0.42,0.94,0.96,0.34,0.55,0.61,0.97,0.91,0.8
cascading.csv,0.42,0.36,1.0,0.89,1.0,1.0,0.44,0.38,0.79,0.27,0.02,0.55,0.2,0.17,0.68,0.63
fm-classic.csv,0.12,0.07,0.13,0.19,0.0,1.0,0.13,0.23,0.17,0.12,0.03,0.06,0.39,0.05,0.1,0.4
free-evolution.csv,0.62,0.67,0.62,0.89,1.0,0.0,0.49,0.19,0.67,0.96,1.0,0.64,1.0,0.39,0.57,0.57
gnome-jabber.csv,0.54,0.6,0.52,0.15,1.0,1.0,0.87,0.35,0.62,0.65,0.62,0.61,0.7,0.52,0.25,0.8
guineu.csv,0.65,0.14,0.42,0.33,0.33,0.67,0.44,0.54,0.16,0.31,1.0,0.58,0.52,0.1,0.22,0.37
ipfilter.csv,0.58,0.79,0.69,0.78,0.67,1.0,0.33,0.88,0.88,1.0,0.98,0.58,0.98,0.91,0.86,0.57
jruby.csv,0.31,0.6,0.0,0.48,1.0,0.33,0.0,0.15,0.74,0.5,1.0,0.18,1.0,0.21,0.68,0.37
l2j.csv,0.88,0.6,0.65,0.19,0.67,1.0,0.59,0.23,0.43,0.65,0.21,0.58,0.24,0.78,0.31,0.63
libmesh.csv,0.15,0.24,0.29,0.07,0.0,0.33,0.33,0.62,0.13,0.04,0.0,0.24,0.02,0.23,0.12,0.3
mvdsv.csv,0.0,0.0,0.29,0.0,1.0,0.0,0.1,0.04,0.08,0.0,0.04,0.0,0.07,0.01,0.05,0.0
stajistics.csv,0.69,0.62,0.83,0.74,1.0,0.33,0.67,0.62,0.67,0.92,1.0,0.76,1.0,0.7,0.53,0.73
twostep.csv,0.88,0.83,0.73,1.0,0.67,0.67,0.72,0.5,0.79,0.85,0.47,0.48,0.7,0.6,0.89,0.93
x4x.csv,0.5,0.76,0.98,0.63,1.0,0.33,0.67,0.23,0.81,0.38,0.46,1.0,0.59,0.83,0.96,0.37
