,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,stemkit.csv,all-plasm.csv,acdk.csv,mp-rechnungs-und-kundenverwaltung.csv,xinity.csv,gss.csv,linux-ntfs.csv,buddata-ebxml-registry.csv,libarchive.csv,jmule.csv
acdk.csv,0.65,0.42,0.28,0.4,0.53,0.4,0.31,0.31,0.01,0.15,0.44,0.97,0.5,0.58,0.28,0.45,0.59,0.53,0.27
all-plasm.csv,0.52,0.28,0.27,0.16,0.33,0.34,0.22,0.27,0.0,0.12,0.98,0.29,0.28,0.38,0.52,0.43,0.42,0.28,0.34
awemud.csv,1.0,0.72,0.23,0.26,0.73,0.38,0.58,0.27,0.02,0.11,0.5,0.59,0.45,0.48,0.37,0.55,0.49,0.51,0.4
buddata-ebxml-registry.csv,0.83,0.78,0.38,0.4,0.89,0.86,0.5,0.26,0.0,0.14,0.56,0.45,0.48,0.77,0.72,0.64,1.0,0.59,0.61
bullet.csv,0.75,0.76,0.29,0.7,0.76,0.98,0.52,0.11,0.0,0.17,0.48,0.26,0.42,0.62,0.58,0.24,0.77,0.62,0.58
dvd-create.csv,0.76,0.76,0.38,0.33,0.99,0.79,0.54,0.27,0.01,0.16,0.47,0.34,0.45,0.67,0.69,0.58,0.76,0.61,0.64
gbif-indexingtoolkit.csv,0.33,0.3,0.4,0.16,0.36,0.21,0.22,1.0,0.0,0.1,0.42,0.14,0.44,0.25,0.12,0.31,0.06,0.39,0.22
go.csv,0.79,0.99,0.34,0.31,0.7,0.72,0.53,0.25,0.01,0.16,0.59,0.43,0.47,0.75,0.65,0.54,0.9,0.59,0.62
gss.csv,0.74,0.7,0.33,0.4,0.74,0.75,0.55,0.26,0.01,0.17,0.51,0.49,0.49,0.67,0.98,0.66,0.65,0.61,0.64
jmule.csv,0.75,0.73,0.39,0.13,0.63,0.59,0.5,0.24,0.01,0.06,0.57,0.56,0.44,0.63,0.53,0.59,0.59,0.51,0.98
kwave.csv,0.55,0.65,1.0,0.31,0.48,0.56,0.31,0.21,0.01,0.08,0.45,0.08,0.38,0.63,0.5,0.46,0.77,0.56,0.49
libarchive.csv,0.66,0.64,0.31,0.3,0.56,0.5,0.59,0.26,0.01,0.21,0.65,0.63,0.45,0.42,0.51,0.6,0.68,0.98,0.67
linux-ntfs.csv,0.66,0.57,0.33,0.34,0.64,0.64,0.4,0.4,0.01,0.1,0.5,0.46,0.48,0.41,0.61,1.0,0.38,0.53,0.43
lsb.csv,0.84,0.75,0.33,0.82,0.75,0.85,0.55,0.27,0.01,0.15,0.55,0.48,0.48,0.73,0.69,0.57,0.91,0.67,0.64
mp-rechnungs-und-kundenverwaltung.csv,0.47,0.58,0.33,0.36,0.13,0.57,0.47,0.29,0.01,0.13,0.49,0.47,0.96,0.39,0.5,0.49,0.67,0.49,0.38
qcad2.csv,0.5,0.72,0.32,0.29,0.85,0.3,0.99,0.25,0.01,0.2,0.5,0.47,0.37,0.54,0.64,0.49,0.47,0.63,0.14
qtwin.csv,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.09,0.02,0.04,0.0,0.06,0.07,0.0,0.0,0.0
stemkit.csv,0.05,0.02,0.0,0.11,0.0,0.06,0.23,0.22,0.0,1.0,0.09,0.03,0.11,0.18,0.0,0.07,0.11,0.15,0.0
xinity.csv,0.52,0.45,0.39,0.08,0.44,0.36,0.44,0.28,0.0,0.11,0.55,0.26,0.43,0.99,0.56,0.45,0.65,0.22,0.69
