,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,stemkit.csv,all-plasm.csv,acdk.csv,mp-rechnungs-und-kundenverwaltung.csv,xinity.csv,gss.csv,linux-ntfs.csv,buddata-ebxml-registry.csv,libarchive.csv,jmule.csv
acdk.csv,0.45,0.66,0.71,0.67,0.57,0.63,0.72,0.5,0.73,0.75,0.53,0.56,0.53,0.44,0.83,0.57,0.53,0.77,0.83
all-plasm.csv,0.77,0.98,0.93,0.75,0.96,0.96,0.89,0.69,0.92,0.82,0.65,0.92,0.74,0.94,0.62,0.94,0.91,0.78,0.59
awemud.csv,0.44,0.45,0.63,0.81,0.42,0.75,0.51,0.5,0.74,0.39,0.39,0.53,0.56,0.46,0.67,0.38,0.59,0.64,0.82
buddata-ebxml-registry.csv,0.41,0.4,0.42,0.55,0.39,0.38,0.46,0.37,0.47,0.36,0.3,0.43,0.35,0.3,0.33,0.4,0.34,0.44,0.31
bullet.csv,0.37,0.4,0.43,0.55,0.43,0.42,0.48,0.59,0.97,0.41,0.45,0.78,0.4,0.42,0.4,0.81,0.44,0.4,0.33
dvd-create.csv,0.37,0.39,0.4,0.71,0.4,0.4,0.43,0.33,0.46,0.38,0.3,0.57,0.37,0.29,0.45,0.4,0.34,0.44,0.45
gbif-indexingtoolkit.csv,0.96,0.86,0.89,0.73,0.96,0.9,0.96,0.91,0.93,0.93,0.67,0.99,0.69,0.86,0.67,0.83,0.75,0.67,0.67
go.csv,0.42,0.45,0.64,0.75,0.46,0.39,0.49,0.37,0.52,0.45,0.32,0.62,0.41,0.35,0.36,0.41,0.32,0.5,0.36
gss.csv,0.4,0.42,0.49,0.62,0.47,0.41,0.49,0.43,0.55,0.41,0.31,0.48,0.34,0.29,0.41,0.49,0.46,0.51,0.37
jmule.csv,0.42,0.5,0.51,0.75,0.45,0.58,0.53,0.38,0.51,0.65,0.48,0.57,0.44,0.36,0.43,0.42,0.45,0.58,0.48
kwave.csv,0.62,0.53,0.94,0.85,0.67,0.56,0.74,0.44,0.64,0.7,0.48,0.98,0.48,0.38,0.55,0.92,0.36,0.55,0.57
libarchive.csv,0.45,0.48,0.57,0.91,0.56,0.48,0.53,0.48,0.56,0.45,0.46,0.49,0.4,0.5,0.52,0.41,0.44,0.55,0.42
linux-ntfs.csv,0.58,0.59,0.59,0.73,0.51,0.52,0.67,0.58,0.94,0.7,0.53,0.55,0.5,0.44,0.63,0.54,0.83,0.69,0.56
lsb.csv,0.39,0.41,0.42,0.57,0.45,0.37,0.45,0.35,0.46,0.36,0.29,0.42,0.35,0.3,0.35,0.36,0.34,0.44,0.33
mp-rechnungs-und-kundenverwaltung.csv,0.67,0.51,0.71,0.91,0.8,0.45,0.57,0.52,0.6,0.89,0.38,0.63,0.64,0.52,0.71,0.53,0.49,0.59,0.61
qcad2.csv,0.58,0.42,0.95,0.83,0.37,0.92,0.61,0.57,0.7,0.68,0.48,0.66,0.55,0.55,0.57,0.53,0.68,0.45,0.75
qtwin.csv,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stemkit.csv,0.67,0.5,0.91,0.89,0.0,0.8,0.92,0.86,0.99,0.83,0.5,0.9,0.89,0.75,0.0,0.0,0.75,0.8,0.0
xinity.csv,0.6,0.7,0.73,0.75,0.81,0.68,0.57,0.41,0.61,0.53,0.35,0.71,0.43,0.42,0.42,0.52,0.43,0.88,0.45
