,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
arsenal-1.csv,0.0,0.0,1.0,3.0,1.0,0.0,11.0,0.0,1.0,1.0,1.0
barracudamvc.csv,0.0,0.0,13.0,7.0,1.0,4.0,10.0,0.0,0.0,1.0,0.0
cascading.csv,0.0,1.0,4.0,2.0,5.0,7.0,4.0,0.0,0.0,0.0,2.0
emisview.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
jitterbit.csv,0.0,2.0,0.0,7.0,0.0,0.0,6.0,0.0,1.0,0.0,4.0
jppf-project.csv,0.0,2.0,6.0,9.0,2.0,5.0,9.0,0.0,0.0,0.0,0.0
mevenide.csv,0.0,2.0,1.0,1.0,1.0,4.0,51.0,0.0,1.0,1.0,0.0
mycila.csv,0.0,2.0,52.0,75.0,0.0,2.0,0.0,0.0,149.0,0.0,116.0
ontopia.csv,0.0,6.0,4.0,15.0,0.0,17.0,4.0,0.0,0.0,0.0,6.0
trackit.csv,0.0,2.0,3.0,5.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0
