,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.31,0.07,1.0,0.43,0.18,0.17,0.14,0.48,0.22,0.3,0.28
arsenal-1.csv,0.64,0.98,0.46,0.55,0.32,0.52,0.2,0.73,0.59,0.5,0.38
barracudamvc.csv,1.0,0.6,0.46,0.49,0.7,0.33,0.3,0.68,0.87,0.58,0.41
cascading.csv,0.56,0.31,0.55,0.52,0.2,0.29,0.22,0.52,1.0,0.62,0.42
emisview.csv,0.16,0.07,0.51,1.0,0.13,0.23,0.15,0.23,0.17,0.19,0.22
jitterbit.csv,0.58,0.45,0.65,0.36,0.3,0.97,0.24,0.52,0.18,0.27,0.34
jppf-project.csv,0.87,0.63,0.59,0.46,0.76,0.36,0.31,0.99,0.83,0.89,0.37
mevenide.csv,0.48,0.52,0.43,0.4,0.09,0.58,0.0,0.42,0.18,0.14,0.98
mycila.csv,0.22,0.27,0.0,0.0,0.36,0.16,0.95,0.1,0.0,0.21,0.0
ontopia.csv,0.3,0.06,0.52,0.37,0.56,0.33,0.2,0.12,0.79,1.0,0.3
trackit.csv,0.69,0.55,0.47,0.33,0.99,0.34,0.23,0.59,0.48,0.49,0.36
