,plearn.csv,nsis.csv,aztec.csv,papertoolkit.csv,qdvdauthor.csv,tango-cs.csv
aztec.csv,0.56,0.43,0.0,0.58,0.74,0.74
nsis.csv,0.95,0.0,0.94,0.75,0.79,0.42
papertoolkit.csv,0.02,0.0,0.02,0.0,0.0,0.0
plearn.csv,0.0,0.57,0.38,0.15,0.84,0.2
qdvdauthor.csv,0.71,0.43,0.32,0.08,0.05,0.39
tango-cs.csv,0.27,0.86,0.96,0.3,0.68,0.04
