,plearn.csv,nsis.csv,aztec.csv,papertoolkit.csv,qdvdauthor.csv,tango-cs.csv
aztec.csv,0.72,0.45,0.04,0.67,0.76,0.78
nsis.csv,0.96,0.0,0.97,0.75,0.8,0.81
papertoolkit.csv,1.0,1.0,1.0,0.0,0.95,1.0
plearn.csv,0.1,0.99,0.73,0.68,0.89,0.83
qdvdauthor.csv,0.76,0.59,0.82,0.67,0.05,0.63
tango-cs.csv,0.62,0.93,0.96,0.3,0.81,0.05
