,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.32,0.83,0.0,0.46,0.19,0.24,0.06,0.38,0.2,0.27,0.33,0.74,0.2,0.54,0.38
amateur-scrolls.csv,0.07,0.53,0.15,0.0,0.04,0.12,0.02,0.16,0.05,0.26,0.15,0.35,0.0,0.0,0.13
biopax.csv,0.57,0.73,0.74,0.52,0.69,0.57,0.75,0.59,0.64,0.92,0.62,0.62,0.15,0.46,0.94
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exl.csv,0.67,0.77,0.67,0.65,0.65,0.45,0.62,0.62,0.56,0.81,0.7,0.68,0.45,0.0,0.83
ikvm.csv,0.51,0.0,0.16,0.15,0.58,0.47,0.44,0.59,0.45,0.27,0.32,0.51,0.3,0.46,0.17
irrlicht.csv,0.87,0.4,0.49,0.91,0.92,0.08,0.81,0.81,0.15,0.33,0.87,0.95,0.4,1.0,0.32
les-indemodables.csv,0.18,0.27,0.09,0.11,0.08,0.24,0.18,0.05,0.11,0.2,0.2,0.0,0.05,0.0,0.28
lportal.csv,0.48,0.17,0.12,0.48,0.5,0.67,0.34,0.46,0.38,0.0,0.54,0.57,0.6,0.69,0.0
ns-3-dev-def-routing.csv,0.45,0.37,0.13,0.35,0.15,0.33,0.12,0.46,0.4,0.24,0.0,0.77,0.25,0.46,0.27
qpe.csv,0.0,0.57,0.22,0.61,0.23,0.49,0.84,0.19,0.56,0.17,0.46,0.34,0.95,0.31,0.09
sigil.csv,0.33,0.53,0.38,0.63,0.23,0.22,0.39,0.03,0.2,0.38,0.43,0.52,0.15,0.46,0.54
ultimairis.csv,0.94,0.97,0.91,0.59,0.65,0.86,0.0,0.68,0.89,0.93,0.79,0.71,0.45,0.54,0.84
unflobtactical.csv,0.41,0.33,0.33,0.61,0.0,0.31,0.32,0.16,0.58,0.39,0.28,0.55,0.3,0.62,0.48
xbg.csv,0.0,0.1,0.09,0.35,0.0,0.29,0.17,0.0,0.0,0.27,0.05,0.02,0.0,0.15,0.2
