,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.72,0.86,0.05,0.79,0.74,0.72,0.9,0.63,0.9,0.56,0.73,0.74,0.79,0.76,0.38
amateur-scrolls.csv,0.98,0.94,0.69,0.0,0.66,0.87,0.89,0.73,0.88,0.7,0.94,0.81,0.8,0.85,1.01
biopax.csv,0.58,0.74,0.74,0.53,0.73,0.67,0.81,0.6,0.74,0.92,0.66,0.64,0.15,0.48,0.94
crux-framework.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
exl.csv,0.67,0.89,0.69,0.66,0.68,0.62,0.69,0.62,0.58,0.81,0.71,0.69,0.55,0.05,0.83
ikvm.csv,0.76,0.09,0.89,0.86,0.87,0.72,0.63,0.9,0.88,0.83,0.78,0.93,0.74,0.97,0.69
irrlicht.csv,0.87,0.64,0.74,0.91,0.94,0.08,0.83,0.81,0.89,0.56,0.87,0.96,0.8,1.0,0.46
les-indemodables.csv,0.52,0.73,0.83,0.91,0.63,0.77,0.73,0.66,1.01,0.58,0.6,0.08,0.82,0.54,0.44
lportal.csv,0.97,0.44,0.98,1.02,0.85,0.78,0.8,0.81,0.95,0.09,0.83,0.88,0.99,1.08,1.0
ns-3-dev-def-routing.csv,0.54,0.62,0.71,0.46,0.7,0.69,0.71,0.72,0.74,0.65,0.02,0.88,0.66,0.65,1.03
qpe.csv,0.23,0.67,0.71,0.93,0.83,0.72,0.91,0.98,0.94,0.91,0.82,1.0,1.01,0.86,1.0
sigil.csv,0.43,0.87,0.5,0.64,0.41,0.73,0.58,0.03,0.42,0.5,0.59,0.59,0.67,0.5,0.54
ultimairis.csv,0.94,0.97,0.94,0.59,0.68,0.87,0.04,0.73,0.9,0.94,0.81,0.76,0.48,0.54,0.84
unflobtactical.csv,0.6,0.84,0.77,0.76,0.0,0.76,0.69,0.45,0.85,0.58,0.61,0.59,0.68,0.72,0.58
xbg.csv,1.0,0.82,0.88,0.57,0.94,0.82,0.87,0.98,0.0,0.67,0.9,1.0,0.92,0.68,0.39
