,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.47,0.98,0.73,1.04,0.76,0.83,0.86,0.81,0.8,0.77,0.72,0.49,0.81
apolloplayer.csv,0.73,0.42,0.53,0.61,0.84,0.69,0.55,0.89,0.84,0.68,0.71,0.53,0.5
auber.csv,0.7,1.0,0.93,1.0,1.0,1.01,0.89,0.87,0.73,1.0,0.81,1.0,0.35
irrlicht.csv,0.98,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.59,0.75,1.0
k3d.csv,0.72,0.96,0.83,1.0,0.71,0.91,0.25,0.7,0.69,0.87,0.87,0.84,0.67
nug.csv,0.65,0.79,0.32,1.0,0.89,0.99,0.7,0.71,0.81,0.96,0.85,1.0,1.0
owlapi.csv,0.7,0.82,0.59,0.22,0.58,0.79,0.99,0.6,0.9,0.33,0.7,1.13,0.88
ppcboot.csv,0.99,0.93,0.97,1.0,1.0,0.88,0.92,0.64,0.53,0.98,0.96,1.0,1.0
red5.csv,0.81,0.52,0.89,0.41,0.72,0.71,0.93,0.46,0.86,0.69,0.82,0.86,0.86
redshell.csv,0.86,0.75,0.77,1.27,0.78,0.43,0.83,0.79,0.83,0.93,0.67,0.73,0.62
utgb.csv,0.66,0.55,0.91,1.01,0.35,0.72,0.68,0.72,0.76,0.95,0.76,0.26,0.72
xreal.csv,0.93,0.96,0.97,1.0,0.71,0.79,0.78,0.79,0.87,0.99,0.84,0.01,0.99
