,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.61,0.94,0.46,0.99,0.67,0.97,0.84,0.93,0.97,0.56,0.79,0.71,0.91
apolloplayer.csv,0.56,0.53,0.48,0.39,0.4,0.49,0.43,0.33,0.54,0.48,0.49,0.55,0.57
auber.csv,0.66,0.44,0.47,0.34,0.37,0.46,0.38,0.43,0.58,0.47,0.49,0.36,0.48
irrlicht.csv,0.4,0.44,0.38,0.34,0.38,0.45,0.35,0.32,0.57,0.47,0.53,0.47,0.39
k3d.csv,0.53,0.5,0.8,0.88,0.38,0.94,0.75,0.56,0.65,0.58,0.96,0.75,0.74
nug.csv,0.68,0.9,0.67,0.0,0.86,0.0,0.95,0.65,0.98,0.5,0.97,0.0,0.87
owlapi.csv,0.59,0.76,0.94,0.98,0.56,0.69,0.49,0.73,0.62,0.6,0.76,0.66,0.82
ppcboot.csv,0.4,0.46,0.38,0.34,0.38,0.48,0.38,0.45,0.83,0.48,0.45,0.36,0.39
red5.csv,0.42,0.44,0.39,0.69,0.38,0.52,0.34,0.44,0.61,0.5,0.46,0.38,0.41
redshell.csv,0.95,0.97,0.76,0.41,0.43,0.55,0.41,0.53,0.68,0.58,0.68,0.76,0.83
utgb.csv,0.64,0.5,0.9,0.98,0.52,0.58,0.67,0.78,0.51,0.97,0.53,0.89,0.75
xreal.csv,0.97,0.83,0.89,0.98,0.5,0.98,0.6,0.54,0.63,0.98,0.91,0.86,0.8
