,d2h
kml.csv,0.81
unicase.csv,0.66
zoolib.csv,0.64
ontopia.csv,0.94
repositorium.csv,0.75
pgui.csv,0.49
ultimairis.csv,0.73
galaxium.csv,0.69
sigil.csv,0.38
ardour.csv,0.44
aten.csv,0.68
irplus.csv,0.65
xfce.csv,0.58
projecteqemu.csv,0.51
personalaccess.csv,0.66
pcsx2.csv,0.53
multitude.csv,0.7
virtuoso.csv,0.46
jrdf.csv,1.01
runuomondains.csv,0.56
jgossipforum.csv,1.0
ingex.csv,0.59
papertoolkit.csv,1.01
modplug.csv,0.56
xcmetadataservicestoolkit.csv,0.7
bionote.csv,0.5
openfrag.csv,0.54
super-tux.csv,0.73
uclmda.csv,1.3
glas.csv,0.89
itext.csv,0.79
pydev.csv,0.44
octet.csv,0.53
powerfolder.csv,0.29
auber.csv,0.64
rebecca-aiml.csv,0.88
dataobjectsdotnet.csv,0.73
jparsec.csv,0.79
twostep.csv,0.85
xbg.csv,0.75
joustsim.csv,0.49
ofbiz.csv,0.71
kftpgrabber.csv,0.39
smartgwt.csv,0.46
img-browse-sort.csv,0.41
adobe-source.csv,0.48
ibatisdb.csv,0.76
fido.csv,0.79
gdis.csv,0.6
madman.csv,0.43
soar.csv,0.71
lufa-lib.csv,0.59
somap.csv,0.88
netatalk.csv,0.51
google-web-toolkit.csv,0.69
megameknet.csv,0.49
power-architect.csv,0.61
enzo.csv,0.85
lite.csv,0.88
hannosset.csv,0.86
lportal.csv,0.44
geotools.csv,0.66
xined.csv,0.46
reaper3d.csv,0.9
openmsx.csv,0.92
loki-lib.csv,0.66
lphant.csv,0.44
ns-3-dev-def-routing.csv,0.55
wxcode.csv,0.3
