,precision
kml.csv,0.88
unicase.csv,0.83
zoolib.csv,0.17
ontopia.csv,0.83
repositorium.csv,0.15
pgui.csv,0.41
ultimairis.csv,0.68
galaxium.csv,0.69
sigil.csv,0.83
ardour.csv,0.77
aten.csv,1.0
irplus.csv,0.6
xfce.csv,0.8
projecteqemu.csv,0.62
personalaccess.csv,0.96
pcsx2.csv,0.82
multitude.csv,0.74
virtuoso.csv,0.37
jrdf.csv,0.0
runuomondains.csv,0.21
jgossipforum.csv,0.0
ingex.csv,0.44
papertoolkit.csv,0.0
modplug.csv,1.0
xcmetadataservicestoolkit.csv,0.74
bionote.csv,0.67
openfrag.csv,0.86
super-tux.csv,0.97
uclmda.csv,0.17
glas.csv,0.57
itext.csv,0.88
pydev.csv,0.53
octet.csv,0.2
powerfolder.csv,0.13
auber.csv,0.78
rebecca-aiml.csv,0.18
dataobjectsdotnet.csv,0.6
jparsec.csv,0.53
twostep.csv,1.0
xbg.csv,0.4
joustsim.csv,0.35
ofbiz.csv,0.73
kftpgrabber.csv,0.61
smartgwt.csv,0.5
img-browse-sort.csv,0.43
adobe-source.csv,0.31
ibatisdb.csv,0.24
fido.csv,0.04
gdis.csv,0.96
madman.csv,0.33
soar.csv,0.55
lufa-lib.csv,0.54
somap.csv,0.89
netatalk.csv,0.7
google-web-toolkit.csv,0.66
megameknet.csv,0.59
power-architect.csv,0.84
enzo.csv,0.78
lite.csv,0.25
hannosset.csv,0.06
lportal.csv,0.08
geotools.csv,0.35
xined.csv,0.31
reaper3d.csv,0.04
openmsx.csv,0.56
loki-lib.csv,0.83
lphant.csv,0.64
ns-3-dev-def-routing.csv,0.51
wxcode.csv,0.42
