,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.5,0.36,0.33,0.37,0.33,0.26,0.95,0.41,0.17,0.36,0.65,0.46,0.46,0.52,0.58
autowikibrowser.csv,0.36,0.51,0.53,0.61,0.56,0.23,0.69,0.3,0.54,0.2,0.47,0.66,0.24,0.59,0.5
biodwh.csv,0.26,0.09,0.28,0.16,0.33,0.17,0.49,0.66,0.21,0.76,0.47,0.38,0.15,0.18,0.27
cities3d.csv,0.26,0.3,0.59,0.29,0.0,0.05,0.0,0.23,0.0,0.0,0.0,0.76,0.11,0.49,0.0
dynalloy.csv,0.85,0.26,0.76,0.71,0.89,0.63,0.58,0.7,0.62,0.88,0.95,0.86,0.59,0.42,0.73
enzo.csv,0.8,0.76,0.85,0.94,0.89,0.87,0.87,0.37,0.96,0.28,0.98,0.87,0.94,0.93,0.81
genecys.csv,0.63,0.85,0.67,0.69,0.22,0.81,0.95,0.85,0.96,0.96,0.79,0.9,0.3,0.93,0.92
kmatplot.csv,0.24,0.32,0.69,0.62,0.0,0.03,0.12,0.08,0.04,0.0,0.07,0.96,0.52,0.48,0.16
modplug.csv,0.91,0.79,0.78,0.89,0.89,0.86,0.97,0.95,0.21,0.2,0.88,0.68,0.98,0.62,0.72
nabu-library.csv,0.64,0.58,0.33,0.13,0.0,0.53,0.39,0.24,0.25,0.88,0.21,0.14,0.41,0.24,0.41
natpad.csv,0.54,0.58,0.75,0.39,0.56,0.55,0.98,0.96,0.46,0.84,0.37,0.85,0.65,0.62,0.33
nebuladevice.csv,0.24,0.34,0.71,0.44,0.44,0.6,0.0,0.83,0.08,0.0,0.05,0.21,0.3,0.3,0.0
ossbuild.csv,0.72,0.47,0.38,0.49,0.78,0.56,0.21,0.68,0.17,0.12,0.56,0.1,0.65,0.23,0.19
xemeiah.csv,0.6,0.89,0.51,0.35,0.56,0.26,0.74,0.87,0.17,0.72,0.72,0.27,0.26,0.93,0.5
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0
