,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,0.79,0.54,0.97,0.23,1.0,0.93,0.75,0.42,0.05,0.81,0.5,0.75,0.04,0.56,0.09,0.0
customsagetv.csv,0.65,0.2,0.98,0.46,0.68,0.93,0.53,0.33,0.08,0.88,0.9,0.5,0.09,0.67,0.17,0.67
glas.csv,0.65,0.5,0.96,0.34,0.77,0.94,0.63,0.34,0.08,0.83,0.36,0.2,0.06,0.57,0.1,0.77
intact.csv,0.59,0.29,0.96,0.41,0.76,0.93,0.69,0.32,0.04,0.82,0.48,0.28,0.02,0.47,0.12,0.48
japano.csv,0.55,0.39,0.96,0.29,0.77,0.98,0.57,0.24,0.02,0.79,0.54,0.36,0.04,0.4,0.09,0.58
jas.csv,0.58,0.5,0.98,0.23,0.75,0.92,0.5,0.29,0.04,0.85,0.7,0.38,0.1,0.44,0.3,0.52
lazarus-ccr.csv,0.43,0.76,0.97,0.29,0.83,0.91,0.63,0.28,0.03,0.85,0.06,0.3,0.01,0.35,0.03,0.89
officefloor.csv,0.57,0.58,0.98,0.39,1.0,0.91,0.77,0.31,0.06,0.94,0.57,0.2,0.04,0.5,0.0,0.57
primefaces.csv,0.52,0.45,0.96,0.26,0.75,0.94,0.61,0.27,0.03,0.85,0.4,0.35,0.03,0.4,0.06,0.85
pustefix.csv,0.57,0.6,0.95,0.29,0.86,0.91,0.65,0.46,0.02,0.86,0.74,0.44,0.03,0.35,0.04,0.63
red5.csv,0.52,0.48,0.94,0.32,0.79,0.93,0.76,0.26,0.04,0.84,0.51,0.26,0.03,0.47,0.07,0.62
redshell.csv,0.67,0.45,0.98,0.34,0.82,0.93,0.56,0.28,0.03,1.0,0.49,0.27,0.01,0.35,0.05,0.57
rohxel.csv,0.63,0.46,0.95,0.47,0.86,0.96,0.75,0.29,0.05,0.84,0.53,0.32,0.01,0.41,0.0,0.59
roolo.csv,0.4,0.46,0.97,0.28,0.62,0.91,0.56,0.22,0.03,0.88,0.65,0.65,0.04,0.34,0.07,0.59
toped.csv,0.52,0.49,0.96,0.29,0.76,0.93,0.56,0.27,0.02,1.0,0.55,0.34,0.03,0.4,0.06,0.62
xreal.csv,0.5,0.4,0.98,0.41,0.73,0.96,0.54,0.12,0.01,0.6,0.95,0.35,0.62,0.47,0.19,0.6
