,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,0.25,0.21,0.38,0.14,0.0,0.22,0.24,0.23,0.25,0.56,0.05,0.08,0.41,0.07,0.59,0.0
customsagetv.csv,0.38,0.14,0.12,0.1,0.55,0.22,0.28,0.06,0.06,0.22,0.11,0.03,0.22,0.04,0.21,0.04
glas.csv,0.46,0.75,0.38,0.4,0.45,0.33,0.52,0.37,0.13,0.67,0.68,0.43,0.34,0.31,0.3,0.11
intact.csv,0.75,0.36,0.62,0.36,0.36,0.44,0.52,0.44,0.56,1.0,0.52,0.49,0.72,0.36,0.3,0.41
japano.csv,0.58,0.79,0.5,0.79,1.0,0.22,0.86,0.66,0.94,0.89,0.93,0.86,0.36,0.8,0.73,0.93
jas.csv,0.42,0.07,0.12,0.59,0.82,0.33,0.21,0.24,0.11,0.33,0.32,0.35,0.15,0.09,0.14,0.48
lazarus-ccr.csv,0.71,0.21,0.62,0.75,0.18,0.89,0.55,0.95,0.59,0.56,0.34,0.7,0.76,0.8,0.72,0.07
officefloor.csv,0.67,0.29,0.12,0.19,0.0,0.67,0.1,0.55,0.27,0.22,0.07,0.11,0.71,0.11,0.03,0.11
primefaces.csv,1.0,1.0,1.0,0.79,0.73,0.67,0.86,1.0,0.97,1.0,0.55,0.7,0.99,1.0,0.65,0.22
pustefix.csv,0.75,0.07,0.75,0.4,0.18,0.78,0.38,0.23,0.68,0.89,0.18,0.38,0.61,0.4,0.99,0.26
red5.csv,1.0,0.82,0.88,0.77,0.91,0.78,0.31,0.98,0.65,1.0,0.98,0.92,0.94,0.64,0.22,0.85
redshell.csv,0.04,0.21,0.38,0.55,0.27,0.67,0.66,0.82,0.16,0.0,0.66,0.65,0.44,0.71,0.6,0.63
rohxel.csv,0.54,1.0,1.0,0.14,0.36,0.33,0.21,0.52,0.41,1.0,0.34,0.35,0.69,0.84,0.07,0.59
roolo.csv,0.62,0.68,0.5,0.82,0.27,0.56,0.83,0.84,0.85,0.44,0.64,0.22,0.74,0.49,0.95,0.81
toped.csv,0.79,0.64,0.88,0.7,1.0,1.0,1.0,0.92,0.81,0.0,0.55,0.84,0.96,0.98,0.88,0.81
xreal.csv,0.29,0.43,0.12,0.23,0.36,0.22,0.59,0.45,0.22,0.44,0.02,0.35,0.02,0.15,0.15,0.22
