,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.82,0.71,0.6,0.56,0.8,0.75,0.93,0.56,0.86,0.88,0.85,0.64,0.44,0.46,0.86,1.03,0.52
arm-webradio.csv,0.69,0.52,1.0,0.58,0.62,0.6,0.91,0.34,0.94,0.94,1.0,0.7,0.77,0.71,0.75,0.98,0.17
bwapi.csv,0.96,0.9,0.96,0.98,0.77,0.98,1.0,1.17,0.75,0.74,1.0,0.94,0.96,1.0,0.75,0.29,1.04
co-ode-owl-plugins.csv,0.68,0.55,0.48,0.65,0.59,0.57,0.77,0.3,0.76,0.95,0.94,0.62,0.81,0.76,0.57,0.96,0.18
firebreath.csv,0.62,0.64,0.51,0.47,0.49,0.48,0.76,0.81,0.64,0.48,0.94,0.51,0.75,0.4,0.56,0.89,0.78
frogatto.csv,0.38,0.66,0.65,0.51,0.57,0.57,0.63,0.98,0.45,0.42,0.86,0.54,0.69,1.0,0.4,1.0,0.7
gretl.csv,0.57,0.69,0.4,0.43,0.94,0.77,0.79,0.52,0.63,0.98,0.9,0.44,0.68,0.48,0.97,0.78,0.53
jasperreports.csv,0.73,0.92,0.98,0.9,0.85,0.89,1.0,1.18,1.04,0.81,0.93,0.8,0.69,0.13,0.84,0.83,1.22
konversation.csv,0.7,0.68,0.24,0.61,0.6,0.47,0.76,0.58,0.89,0.7,0.75,0.59,0.82,0.32,0.81,0.88,0.86
linuxsh.csv,0.66,0.43,0.84,0.85,0.68,0.84,1.0,0.37,0.9,0.87,1.0,0.86,0.84,0.97,0.6,0.93,0.55
moviesandbox.csv,0.73,0.66,0.45,0.52,0.48,0.54,0.91,0.47,0.54,0.73,0.94,0.82,0.82,0.52,0.59,0.89,0.77
ontomorphtab.csv,0.37,0.85,0.43,0.51,0.7,0.54,0.64,0.94,0.56,0.54,0.87,0.55,0.69,0.26,0.56,0.84,0.78
opengs.csv,0.83,0.78,0.43,0.44,0.61,0.73,0.9,0.78,0.36,0.64,1.0,0.64,0.75,0.57,0.68,0.76,1.0
scite-ru.csv,0.91,0.53,0.68,0.74,0.75,0.79,0.65,0.73,0.6,0.94,0.83,0.56,0.74,1.0,0.52,0.92,0.67
tokratan.csv,0.68,0.57,0.45,0.47,0.58,0.72,0.9,0.89,0.61,0.45,0.93,0.5,0.67,0.59,0.81,0.88,0.85
vrjuggler.csv,0.65,1.0,0.84,0.87,0.76,0.99,0.82,0.32,0.91,0.8,0.49,0.94,0.91,1.21,0.92,0.65,0.83
xuggle.csv,0.57,0.74,0.51,0.32,0.65,0.62,0.57,0.81,0.55,0.55,0.89,0.57,0.64,0.98,0.57,0.84,0.54
