,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.18,0.38,0.87,0.05,0.49,0.28,0.42,0.12,0.27,0.97
pclasses.csv,0.5,0.41,0.0,0.0,0.5,0.0,0.3,0.33,0.29,1.0
pfaedit.csv,0.0,0.71,0.0,0.12,0.87,0.5,0.57,0.32,0.32,0.95
theresa.csv,0.11,0.5,0.82,0.2,0.76,0.0,0.59,0.15,0.38,0.97
thrust.csv,0.0,0.44,0.56,0.0,0.58,0.53,0.43,0.22,0.31,0.97
tktoolkit.csv,0.16,0.38,0.74,0.07,0.68,0.34,0.49,0.34,0.22,0.95
trinitycore.csv,0.28,0.5,1.0,0.12,0.5,0.31,0.54,0.33,0.39,1.0
tzod.csv,0.15,0.53,0.77,0.17,0.76,0.29,0.53,0.12,0.34,0.97
yaprm.csv,0.17,0.5,0.0,0.13,1.0,0.28,0.65,0.32,0.34,1.0
zemljanka.csv,0.18,0.41,0.57,0.09,0.62,0.28,0.52,0.11,0.26,1.0
