,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.27,0.35,0.85,0.09,0.43,0.44,0.45,0.2,0.37,0.61
pclasses.csv,0.62,0.46,0.0,0.0,0.21,0.0,0.13,0.08,0.35,0.03
pfaedit.csv,0.0,0.55,0.0,0.2,0.81,0.11,0.68,0.29,0.39,0.33
theresa.csv,0.14,0.56,0.35,0.33,0.73,0.0,0.52,0.25,0.4,0.6
thrust.csv,0.0,0.42,0.49,0.0,0.55,0.53,0.37,0.27,0.35,0.45
tktoolkit.csv,0.23,0.54,0.47,0.13,0.77,0.46,0.54,0.41,0.31,0.88
trinitycore.csv,0.39,0.31,0.05,0.21,0.07,0.3,0.55,0.26,0.51,0.07
tzod.csv,0.19,0.58,0.8,0.27,0.69,0.17,0.51,0.21,0.38,0.81
yaprm.csv,0.24,0.45,0.0,0.22,0.11,0.29,0.68,0.33,0.35,0.27
zemljanka.csv,0.3,0.54,0.69,0.17,0.73,0.38,0.67,0.2,0.4,0.9
