,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.65,0.79,0.49,0.54,0.58,0.41,0.53,0.45,0.52,0.75
pclasses.csv,0.72,0.47,0.0,0.88,0.93,0.5,0.9,0.67,0.69,0.67
pfaedit.csv,0.75,0.71,0.0,0.53,0.38,0.5,0.37,0.95,0.45,0.65
theresa.csv,0.5,0.38,0.82,0.47,0.34,0.0,0.45,0.36,0.52,0.38
thrust.csv,0.8,0.68,0.62,0.67,0.48,0.94,0.71,0.97,0.73,0.98
tktoolkit.csv,0.47,0.37,0.68,0.46,0.31,0.49,0.42,0.74,0.5,0.43
trinitycore.csv,0.56,0.83,0.0,0.5,0.75,0.69,0.46,0.93,0.55,0.86
tzod.csv,0.6,0.44,0.5,0.67,0.38,0.86,0.5,0.38,0.54,0.39
yaprm.csv,0.57,0.55,0.0,0.53,0.67,0.61,0.4,0.84,0.57,0.72
zemljanka.csv,0.5,0.41,0.46,0.56,0.34,0.64,0.36,0.42,0.47,0.48
