,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.64,0.33,0.83,0.67,0.39,1.0,0.49,0.78,0.6,0.45
pclasses.csv,0.82,0.52,0.0,0.0,0.13,0.0,0.08,0.04,0.42,0.01
pfaedit.csv,0.0,0.44,0.0,0.67,0.76,0.06,0.84,0.26,0.49,0.2
theresa.csv,0.18,0.63,0.22,1.0,0.7,0.0,0.46,0.7,0.44,0.44
thrust.csv,0.0,0.41,0.44,0.0,0.52,0.53,0.32,0.35,0.4,0.29
tktoolkit.csv,0.45,0.93,0.34,0.67,0.89,0.71,0.59,0.52,0.49,0.83
trinitycore.csv,0.64,0.22,0.02,1.0,0.04,0.29,0.57,0.22,0.71,0.03
tzod.csv,0.27,0.63,0.83,0.67,0.63,0.12,0.49,0.74,0.44,0.69
yaprm.csv,0.36,0.41,0.0,0.67,0.06,0.29,0.7,0.35,0.36,0.16
zemljanka.csv,0.82,0.78,0.85,1.0,0.89,0.59,0.95,0.74,0.93,0.81
