,umber.csv,openwbem.csv,wpdev.csv,orc.csv,vienna-add-in.csv,ivataopenportal.csv,plato.csv,onotoa.csv,yarp0.csv,rodin-b-sharp.csv,lcfizvtop.csv,elynx.csv,tycho.csv,xcmetadataservicestoolkit.csv,lite.csv,fityk.csv,codesmith.csv,ta3d.csv,jfreechart.csv
codesmith.csv,0.9,0.52,0.41,0.34,0.96,0.62,0.73,0.47,0.41,0.42,0.55,0.74,0.38,0.48,0.38,0.47,0.48,0.54,0.52
fityk.csv,0.33,0.5,0.38,0.37,0.46,0.42,0.37,0.39,0.4,0.4,0.48,0.29,0.49,0.35,0.46,0.38,0.55,0.33,0.28
ivataopenportal.csv,0.38,0.45,0.38,0.31,0.44,0.54,0.36,0.29,0.37,0.39,0.42,0.47,0.4,0.37,0.34,0.39,0.39,0.41,0.28
lcfizvtop.csv,0.4,0.7,0.66,0.33,0.38,0.48,0.33,0.32,0.34,0.38,0.53,0.33,0.34,0.42,0.32,0.41,0.43,0.33,0.28
lite.csv,0.0,0.97,0.7,0.83,0.93,0.67,0.0,0.65,0.82,0.71,0.93,0.67,0.0,0.53,0.46,0.91,0.5,0.83,0.8
onotoa.csv,0.39,0.56,0.56,0.44,0.56,0.49,0.87,0.51,0.48,0.58,0.57,0.49,0.4,0.4,0.48,0.49,0.73,0.46,0.29
openwbem.csv,0.4,0.47,0.41,0.56,0.53,0.54,0.6,0.43,0.59,0.57,0.78,0.52,0.43,0.5,0.87,0.61,0.9,0.41,0.3
orc.csv,0.93,0.51,0.43,0.57,0.94,0.59,0.42,0.58,0.58,0.6,0.4,0.67,0.0,0.43,0.4,0.56,0.88,0.7,0.9
plato.csv,0.35,0.49,0.4,0.31,0.45,0.45,0.5,0.35,0.39,0.41,0.39,0.35,0.4,0.32,0.36,0.35,0.37,0.41,0.28
rodin-b-sharp.csv,0.82,0.95,0.56,0.95,0.94,0.97,0.52,0.72,0.91,0.65,0.89,0.5,0.0,0.83,0.0,0.5,0.55,0.72,0.9
ta3d.csv,0.52,0.99,0.88,0.9,0.51,0.97,0.78,0.82,0.85,0.97,0.0,0.0,0.5,0.88,0.88,0.8,0.75,0.5,0.5
tycho.csv,0.81,0.85,0.54,0.96,0.89,0.74,0.9,0.58,0.9,0.78,0.79,0.8,0.58,0.5,0.9,0.88,0.83,0.59,0.64
umber.csv,0.58,0.5,0.39,0.29,0.52,0.46,0.44,0.49,0.41,0.43,0.45,0.36,0.62,0.4,0.46,0.4,0.36,0.53,0.42
vienna-add-in.csv,0.52,0.63,0.58,0.36,0.55,0.59,0.63,0.46,0.75,0.68,0.82,0.59,0.53,0.47,0.49,0.49,0.58,0.5,0.85
wpdev.csv,0.34,0.49,0.39,0.29,0.42,0.43,0.42,0.36,0.39,0.38,0.39,0.4,0.4,0.33,0.36,0.35,0.39,0.42,0.28
xcmetadataservicestoolkit.csv,0.46,0.85,0.4,0.76,0.68,0.48,0.91,0.57,0.78,0.63,0.91,0.36,0.83,0.39,0.92,0.58,0.6,0.41,0.28
yarp0.csv,0.47,0.5,0.44,0.45,0.68,0.49,0.41,0.62,0.5,0.45,0.5,0.42,0.92,0.48,0.5,0.39,0.49,0.41,0.64
