,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,ffigo.csv,wikipediardware.csv
empserver.csv,0.62,0.74,0.9,0.72,0.45,0.79,0.61,0.71
enlightenment.csv,1.0,1.0,1.0,0.49,1.0,1.0,0.91,1.0
ffigo.csv,0.58,0.75,0.83,1.0,1.0,0.76,0.39,1.01
ildjit.csv,0.61,0.3,0.73,0.78,0.83,1.03,0.66,0.67
jfreereport.csv,0.89,0.97,0.61,0.84,0.95,0.88,0.71,0.95
psycle.csv,0.5,0.85,0.71,0.59,0.79,0.71,0.53,0.55
wikipediardware.csv,0.5,0.97,1.0,0.62,0.97,0.92,0.77,0.38
wxjs.csv,0.97,1.0,0.94,1.0,0.97,0.24,1.0,0.95
