,utgb.csv,fw4spl.csv,nassp.csv,super-tux.csv,soar.csv,mesa3d.csv,ipfilter.csv,tencompetence.csv,rockbox.csv
fw4spl.csv,0.62,0.28,0.36,1.0,0.46,0.22,0.69,0.47,0.43
ipfilter.csv,0.43,0.08,0.2,0.94,0.56,0.22,0.96,0.7,0.34
mesa3d.csv,0.62,0.14,0.32,0.97,0.51,0.35,0.65,0.56,0.46
nassp.csv,0.7,0.24,0.5,0.96,0.53,0.33,1.0,0.45,1.0
rockbox.csv,0.58,0.26,0.29,0.96,0.62,0.3,0.63,0.46,0.58
soar.csv,0.51,0.14,0.21,0.95,0.8,0.21,0.72,0.64,0.37
super-tux.csv,0.62,0.13,0.26,1.0,0.0,0.22,0.6,0.58,0.35
tencompetence.csv,0.56,0.04,0.25,0.94,0.59,0.21,1.0,0.83,0.0
utgb.csv,0.77,0.18,0.47,1.0,0.44,0.28,0.77,0.58,0.54
