,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.54,0.42,0.8,1.0,1.0,0.81,0.78,0.65,0.54,0.88,0.92,0.79,0.76
freewrl.csv,0.63,0.78,0.88,0.86,0.84,0.42,0.66,0.67,0.72,0.88,0.37,0.8,0.89
fulguro.csv,0.79,0.94,1.0,0.46,0.9,0.69,0.96,0.69,0.84,0.58,0.86,0.55,1.0
google-web-toolkit.csv,0.66,0.87,0.95,0.84,0.71,0.82,0.53,0.62,0.8,0.9,0.91,1.0,0.66
jcache.csv,0.63,0.9,0.75,0.5,0.89,0.89,0.71,0.83,0.54,0.76,0.19,0.99,0.69
jstock.csv,0.57,0.84,0.93,0.61,0.57,0.57,0.64,0.56,0.24,0.75,0.25,0.77,0.65
mimosa.csv,0.78,1.0,0.88,0.34,0.92,0.66,0.84,0.89,0.66,0.57,0.42,0.93,0.78
miranda.csv,0.48,0.7,0.97,0.95,1.0,1.0,0.93,0.7,1.0,0.83,0.61,0.81,0.48
ns-3-dev-def-routing.csv,0.63,0.9,0.91,0.78,0.68,0.84,0.73,0.5,0.71,0.71,0.9,0.88,0.75
ossbuild.csv,0.36,0.83,0.34,0.57,0.69,0.65,0.73,0.57,0.77,0.85,0.56,0.98,0.6
qtractor.csv,0.43,0.71,1.0,0.27,0.7,0.83,0.69,0.51,0.49,0.78,0.35,0.78,0.59
quarkplayer.csv,0.8,0.9,0.83,0.6,0.34,1.0,0.84,0.74,1.01,0.7,1.02,0.82,0.91
synergyspace.csv,0.66,0.9,0.58,0.37,0.76,0.92,0.73,0.73,0.71,0.44,0.92,0.79,0.9
