,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.33,0.33,0.65,0.45,0.41,0.46,0.31,0.43,0.37,0.55,0.1,0.65,0.71
freewrl.csv,0.62,0.78,0.84,0.71,0.75,0.29,0.61,0.62,0.65,0.81,0.22,0.58,0.89
fulguro.csv,0.67,0.47,0.0,0.45,0.53,0.62,0.01,0.5,0.84,0.53,0.85,0.3,0.01
google-web-toolkit.csv,0.25,0.13,0.27,0.81,0.31,0.08,0.41,0.35,0.21,0.87,0.9,0.04,0.54
jcache.csv,0.62,0.89,0.63,0.4,0.89,0.88,0.66,0.82,0.53,0.21,0.17,0.97,0.65
jstock.csv,0.42,0.2,0.21,0.19,0.5,0.46,0.41,0.41,0.23,0.16,0.15,0.72,0.27
mimosa.csv,0.75,1.0,0.88,0.24,0.91,0.62,0.79,0.87,0.65,0.5,0.27,0.89,0.71
miranda.csv,0.21,0.15,0.03,0.0,0.02,0.0,0.03,0.41,0.05,0.19,0.15,0.76,0.44
ns-3-dev-def-routing.csv,0.17,0.89,0.9,0.71,0.62,0.21,0.48,0.36,0.16,0.64,0.73,0.7,0.74
ossbuild.csv,0.17,0.69,0.23,0.12,0.63,0.58,0.51,0.31,0.05,0.08,0.07,0.94,0.43
qtractor.csv,0.29,0.56,1.0,0.26,0.67,0.17,0.52,0.45,0.16,0.27,0.2,0.76,0.55
quarkplayer.csv,0.29,0.36,0.7,0.33,0.29,0.0,0.18,0.29,0.16,0.26,0.71,0.1,0.13
synergyspace.csv,0.33,0.84,0.51,0.29,0.73,0.25,0.56,0.45,0.53,0.27,0.76,0.47,0.1
