,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.21,0.75,0.62,0.13,0.16,0.55,0.22,0.58,0.41,0.25,0.37,0.34,0.52,0.33,0.5,0.34,0.86,0.24,0.2
delphilhlplib.csv,0.69,0.84,0.98,0.7,0.89,0.41,0.26,0.58,0.63,0.65,0.83,0.47,0.81,0.7,0.48,0.47,0.79,0.29,0.6
exordium.csv,0.08,0.2,0.17,0.15,1.0,0.41,0.03,0.11,0.29,0.13,0.37,0.16,0.06,0.17,0.02,0.17,0.08,0.09,0.8
fltk.csv,0.85,0.39,0.28,0.9,0.63,0.52,0.14,0.53,0.53,0.35,0.74,0.29,0.55,0.42,0.4,0.42,0.97,0.12,0.8
genoviz.csv,0.26,0.06,0.38,0.14,0.11,0.1,0.03,0.05,0.12,0.12,0.09,0.05,0.06,0.12,0.2,0.13,0.01,0.2,1.0
gzigzag.csv,0.49,0.26,0.26,0.5,0.53,0.97,0.06,0.63,0.39,0.24,0.71,0.39,0.19,0.21,0.35,0.51,0.03,0.05,0.4
irrlicht.csv,1.0,0.91,0.58,0.96,1.0,0.66,0.42,0.79,0.92,0.99,0.91,0.84,0.94,0.91,0.85,0.89,0.97,0.76,1.0
kmess.csv,0.38,0.27,0.36,0.53,0.47,0.28,0.07,0.42,0.86,0.46,0.26,0.55,0.29,0.3,0.57,0.98,0.12,0.49,0.4
moast.csv,0.15,0.14,0.04,0.2,0.47,0.38,0.01,0.0,0.47,0.1,0.66,0.13,0.1,0.23,0.12,0.35,0.99,0.06,0.4
mptvseries.csv,0.82,1.0,0.72,0.73,0.63,0.45,0.06,1.0,0.55,0.24,1.0,0.42,0.19,0.35,0.5,0.47,0.23,0.14,0.8
nativeclient.csv,0.92,0.68,0.62,0.5,0.89,0.59,0.45,0.53,0.8,0.54,0.74,0.63,0.48,0.65,0.65,0.62,0.4,0.96,1.0
openfrag.csv,0.95,0.96,0.66,0.8,0.74,0.69,0.45,0.79,0.94,0.66,0.91,0.63,0.48,0.94,0.72,0.78,0.99,0.81,0.8
phet.csv,0.23,0.66,0.53,0.53,0.21,0.41,0.94,0.37,0.49,0.55,0.14,0.76,0.87,0.5,0.65,0.62,0.1,0.65,0.2
qdvdauthor.csv,0.26,0.65,0.38,0.5,0.32,0.21,0.16,0.53,0.35,0.45,0.66,0.58,0.39,0.65,1.0,0.65,0.03,0.71,0.2
qse.csv,0.9,0.65,0.53,0.6,0.84,0.66,0.36,0.68,0.84,0.5,0.97,0.66,0.61,0.44,0.52,0.54,0.97,0.39,0.8
sauerbraten.csv,1.0,0.42,0.26,0.67,0.79,0.38,0.22,0.53,0.69,0.49,0.8,0.32,0.39,0.58,0.3,0.58,0.24,0.35,0.2
toped.csv,1.0,0.94,0.62,0.95,1.0,0.21,0.51,0.95,1.0,0.94,1.0,0.71,0.97,0.59,0.82,0.86,0.94,0.97,0.2
truevision.csv,0.82,0.57,0.51,0.47,0.79,0.86,0.3,0.53,0.73,0.33,0.77,0.92,0.23,0.67,0.48,0.54,0.23,0.27,1.0
zoolib.csv,0.69,0.06,0.08,0.35,0.42,0.34,0.1,0.32,0.37,0.13,0.4,0.11,0.77,0.15,0.25,0.28,0.29,0.1,0.8
