,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,v8.csv
bochs.csv,0.13,0.12,0.5,0.51,0.6,0.24,0.92
encog-java.csv,0.26,0.2,1.0,0.78,0.61,0.14,0.0
h2database.csv,0.23,0.29,0.5,0.59,0.82,0.12,0.96
haphazard.csv,0.11,0.09,0.48,0.4,0.35,0.28,0.92
jaql.csv,0.18,0.21,0.52,0.61,0.61,0.25,1.0
raven-monitoring.csv,0.12,0.1,0.59,0.43,0.15,0.25,0.96
v8.csv,0.03,0.18,0.37,0.32,0.38,0.17,0.99
