,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.59,0.76,0.7,0.86,0.36,0.8,0.89,0.89,0.74,0.81,0.84,0.75,0.58,0.2,0.81
fmri-dmt.csv,0.88,0.84,0.87,0.85,1.19,0.99,0.24,0.74,1.02,0.8,1.0,0.86,0.89,0.93,0.87
ftm.csv,0.36,0.74,0.73,0.52,0.39,0.57,0.73,0.82,0.48,0.8,0.67,0.49,0.56,0.91,0.84
fulguro.csv,0.72,1.0,0.95,0.87,0.95,0.86,0.89,0.52,1.0,0.73,0.69,1.0,0.91,0.99,0.46
gss.csv,0.78,0.67,0.77,0.74,0.72,0.57,1.0,0.79,0.81,0.55,0.33,0.87,0.75,0.57,0.61
illumination.csv,1.0,1.0,1.0,1.0,0.99,0.98,0.84,0.64,1.0,0.32,0.85,1.0,1.0,0.99,1.0
ldview.csv,0.69,1.0,0.45,0.97,0.74,0.96,0.67,0.77,0.75,0.81,0.87,0.51,0.66,0.87,0.81
monetdb.csv,0.51,0.86,0.61,0.4,1.0,0.79,0.83,0.82,0.29,0.7,0.83,0.6,0.75,0.55,0.92
netatalk.csv,0.6,0.67,0.65,0.78,1.32,0.41,0.87,0.89,0.98,0.63,0.84,0.55,0.8,0.92,0.61
olex2.csv,0.44,0.92,1.0,0.88,0.57,0.65,0.42,0.76,0.84,1.01,0.8,0.37,0.54,0.71,0.91
qpe.csv,0.44,0.68,0.72,0.55,1.03,0.52,0.59,0.83,0.59,0.68,0.32,0.79,0.74,1.2,0.74
quark.csv,0.75,0.96,0.79,0.57,1.01,0.71,1.0,0.89,0.29,0.94,0.83,0.82,0.55,0.97,0.78
sepgsql.csv,0.46,0.35,0.52,0.49,0.19,0.49,0.86,0.8,0.4,0.84,0.64,0.56,0.61,0.56,0.9
synergyspace.csv,0.7,0.69,0.95,0.78,0.74,0.84,0.74,0.51,0.87,0.89,0.62,0.89,0.89,0.96,0.91
