,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.34,0.52,0.32,0.14,0.36,0.47,0.31,0.74,0.27,0.28,0.35,0.69,0.44,0.2,0.49
fmri-dmt.csv,0.66,0.63,0.76,0.41,0.65,0.95,0.18,0.34,0.42,0.6,0.85,0.66,0.62,0.93,0.86
ftm.csv,0.28,0.73,0.14,0.48,0.39,0.37,0.29,0.14,0.48,0.37,0.05,0.32,0.41,0.47,0.8
fulguro.csv,0.33,0.0,0.0,0.03,0.95,0.34,0.89,0.47,0.06,0.34,0.65,0.0,0.2,0.59,0.28
gss.csv,0.78,0.61,0.73,0.73,0.72,0.53,0.98,0.74,0.81,0.54,0.2,0.86,0.73,0.47,0.49
illumination.csv,0.0,0.0,0.0,0.0,0.99,0.97,0.84,0.48,0.0,0.12,0.85,0.0,0.0,0.99,0.03
ldview.csv,0.63,1.0,0.41,0.97,0.74,0.95,0.65,0.62,0.71,0.75,0.75,0.41,0.17,0.87,0.81
monetdb.csv,0.27,0.09,0.43,0.26,0.09,0.08,0.02,0.11,0.25,0.46,0.0,0.35,0.75,0.25,0.42
netatalk.csv,0.55,0.56,0.49,0.72,0.86,0.29,0.87,0.89,0.98,0.58,0.8,0.41,0.79,0.82,0.58
olex2.csv,0.34,0.91,0.03,0.07,0.57,0.11,0.39,0.38,0.33,0.11,0.05,0.25,0.41,0.59,0.03
qpe.csv,0.31,0.68,0.11,0.44,0.26,0.47,0.48,0.19,0.5,0.43,0.25,0.08,0.1,0.71,0.58
quark.csv,0.05,0.0,0.19,0.12,0.12,0.03,0.03,0.08,0.25,0.08,0.0,0.07,0.27,0.0,0.46
sepgsql.csv,0.26,0.33,0.22,0.24,0.19,0.24,0.23,0.22,0.37,0.35,0.1,0.38,0.49,0.13,0.86
synergyspace.csv,0.33,0.41,0.05,0.12,0.74,0.29,0.74,0.28,0.21,0.46,0.45,0.25,0.13,0.16,0.39
