,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.39,0.44,0.55,0.41,0.48,0.68,0.63,0.42,0.58,0.93,0.36,0.0,0.37,0.83,0.35
badtrinity-zero.csv,0.97,0.0,0.42,0.0,0.36,0.43,0.91,0.0,0.38,0.0,0.34,0.39,0.65,0.43,0.34
biodwh.csv,0.79,0.71,0.74,0.51,0.69,0.61,0.94,0.44,0.48,0.51,0.5,0.73,0.64,0.64,0.39
critterding.csv,0.54,0.59,0.49,0.47,0.41,0.47,0.44,0.43,0.49,0.39,0.38,0.45,0.37,0.45,0.38
elateportal.csv,0.43,0.54,0.52,0.5,0.42,0.57,0.42,0.53,0.44,0.97,0.31,0.42,0.32,0.46,0.34
enzo.csv,0.38,0.43,0.44,0.41,0.4,0.38,0.4,0.38,0.38,0.35,0.3,0.42,0.34,0.41,0.31
factor.csv,0.97,0.94,0.94,0.54,0.88,0.97,0.0,0.96,0.67,0.93,0.9,0.86,0.78,0.51,0.4
gusanos.csv,0.45,0.44,0.61,0.42,0.33,0.92,0.94,0.44,0.9,0.5,0.33,0.0,0.34,0.82,0.32
miranda.csv,0.0,0.0,0.64,0.0,0.4,0.44,0.67,0.0,0.56,0.0,0.33,0.39,0.9,0.83,0.39
modplug.csv,0.42,0.52,0.49,0.45,0.37,0.46,0.4,0.43,0.43,0.5,0.31,0.41,0.36,0.48,0.36
monetdb.csv,0.54,0.92,0.55,0.92,0.5,0.85,0.59,0.92,0.48,0.9,0.39,0.91,0.72,0.61,0.85
quarkplayer.csv,0.82,0.83,0.86,0.87,0.95,0.95,0.96,0.92,0.93,0.71,0.75,0.92,0.92,0.75,0.97
reactos-mirror.csv,0.56,0.5,0.51,0.51,0.38,0.55,0.49,0.45,0.44,0.4,0.3,0.39,0.48,0.82,0.35
sandiaportals.csv,0.68,0.57,0.62,0.51,0.45,0.73,0.49,0.49,0.59,0.63,0.0,0.47,0.57,0.53,0.42
xbplayer.csv,0.67,0.5,0.46,0.45,0.52,0.49,0.48,0.53,0.39,0.89,0.43,0.44,0.3,0.47,0.34
