,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.28,0.69,0.05,0.71,0.5,0.67,0.54,0.39,0.63,0.2,0.7,0.55,0.49,0.58,0.44,0.54
betoffice.csv,0.53,0.34,0.42,0.38,0.0,0.44,0.17,0.6,0.28,0.39,0.44,0.38,0.35,0.35,0.44,0.6
bnetd.csv,0.29,0.0,0.35,0.4,0.42,0.47,0.48,0.0,0.64,0.44,0.69,0.4,0.45,0.44,0.34,0.51
elvishrayrenderer.csv,0.61,0.19,0.12,0.74,0.78,0.7,0.24,0.16,0.31,0.57,0.46,0.5,0.48,0.31,0.68,0.74
emisview.csv,0.24,0.0,0.06,0.5,0.43,0.67,0.2,0.13,0.52,0.0,0.32,0.4,0.36,0.25,0.45,0.07
findbugs.csv,0.0,0.78,0.05,0.4,0.51,0.47,0.59,0.55,0.73,0.11,0.53,0.26,0.58,0.62,0.25,0.57
hazelcast.csv,0.47,0.64,0.63,0.61,0.96,0.42,0.51,0.54,0.44,0.49,0.56,0.67,0.5,0.54,0.71,0.53
jitterbit.csv,0.0,0.73,0.47,0.74,0.69,0.52,0.38,0.16,0.69,0.22,0.32,0.36,0.67,0.58,0.6,0.6
jppf-project.csv,0.25,0.37,0.49,0.34,0.49,0.4,0.52,0.49,0.41,0.47,0.43,0.72,0.53,0.48,0.52,0.38
megasquirtavr.csv,0.0,0.0,0.59,0.38,0.0,0.0,0.58,0.51,0.66,0.52,0.0,0.4,0.09,0.6,0.42,0.37
stajistics.csv,0.58,0.0,0.0,0.0,0.76,0.53,0.12,0.43,0.38,0.41,0.62,0.0,0.51,0.26,0.7,0.24
trackit.csv,0.33,0.25,0.5,0.21,0.28,0.05,0.62,0.25,0.44,0.27,0.41,0.26,0.21,0.22,0.33,0.33
tweetsharp.csv,0.48,0.12,0.13,0.6,0.0,0.55,0.57,0.16,0.56,0.59,0.24,0.16,0.6,0.73,0.48,0.18
wxlua.csv,0.35,0.35,0.44,0.36,0.22,0.2,0.42,0.02,0.51,0.72,0.13,0.4,0.41,0.67,0.33,0.51
x4x.csv,0.74,0.42,0.13,0.25,0.27,0.3,0.49,0.52,0.5,0.37,0.53,0.45,0.5,0.52,0.4,0.24
xharbour.csv,0.29,0.8,0.72,0.66,0.61,0.59,0.69,0.43,0.62,0.58,0.58,0.48,0.58,0.62,0.66,0.63
