,recall,precision,pf,pci_20,ifa,wins
abbot.csv,0.88,0.41,0.78,0.42,2.0,179
acdk.csv,0.33,0.57,0.15,0.6,1.0,607
acegisecurity.csv,0.61,0.45,0.46,0.49,2.0,411
adaptagrams.csv,0.32,0.5,0.19,0.64,1.0,582
adobe-source.csv,0.49,0.385,0.42,0.55,2.0,262
adonthell.csv,0.52,0.39,0.48,0.51,2.0,185
agilitybook.csv,0.41,0.45,0.33,0.6,2.0,464
aime.csv,0.22,0.365,0.215,0.81,3.0,468
alembik.csv,0.21,0.555,0.1,0.71,1.0,611
algebsql.csv,0.38,0.33,0.5,0.76,2.0,204
all-plasm.csv,0.33,0.45,0.26,0.75,2.0,570
alleg.csv,0.43,0.41,0.35,0.55,2.0,319
alpine.csv,0.76,0.42,0.62,0.43,2.0,258
alsa.csv,0.67,0.445,0.5,0.45,2.0,379
amanda.csv,0.6,0.46,0.46,0.52,2.0,452
amateur-scrolls.csv,0.26,0.38,0.19,0.715,2.0,463
amygdala.csv,0.38,0.4,0.34,0.62,1.0,363
anaxagora.csv,0.64,0.44,0.48,0.42,2.0,304
apertium.csv,0.21,0.4,0.14,0.56,2.0,298
apolloplayer.csv,0.57,0.41,0.49,0.5,2.0,259
applet2app.csv,0.595,0.5,0.35,0.46,1.0,542
arcallians.csv,0.7,0.43,0.58,0.48,2.0,316
archive-crawler.csv,0.33,0.49,0.21,0.73,1.0,598
ardour.csv,0.46,0.52,0.27,0.48,1.0,543
arianne.csv,0.95,0.385,0.93,0.41,2.0,61
arm-webradio.csv,0.38,0.4,0.38,0.63,2.0,307
array4j.csv,0.3,0.34,0.33,0.625,3.0,149
arsenal-1.csv,0.09,0.42,0.07,0.8,2.0,545
atlc.csv,0.65,0.385,0.62,0.525,2.0,182
atomsite.csv,0.73,0.44,0.56,0.4,2.0,290
atunes.csv,0.68,0.43,0.53,0.43,2.0,286
auber.csv,0.775,0.42,0.67,0.45,2.0,242
aubit4gl.csv,0.155,0.4,0.155,0.82,2.0,520
aufs.csv,0.39,0.39,0.36,0.64,2.0,339
autat.csv,0.4,0.49,0.24,0.6,1.0,571
autofac.csv,0.61,0.45,0.455,0.43,1.0,345
autoopencas.csv,0.26,0.29,0.4,0.8,3.0,147
autowikibrowser.csv,0.65,0.46,0.46,0.36,1.0,313
avifile.csv,0.45,0.35,0.52,0.67,2.0,183
avisynth2.csv,0.02,0.25,0.02,0.65,3.0,65
awemud.csv,0.56,0.49,0.35,0.43,1.0,476
aztec.csv,0.41,0.5,0.25,0.58,1.0,569
azureus.csv,0.82,0.4,0.74,0.4,2.0,122
baadengine.csv,0.96,0.405,0.9,0.38,2.0,92
bacnet.csv,0.46499999999999997,0.45,0.33,0.56,2.0,471
bacula.csv,0.66,0.445,0.49,0.5,2.0,435
badtrinity-zero.csv,0.44,0.46,0.33,0.57,2.0,472
badtrinitycore.csv,0.29,0.435,0.21,0.62,2.0,460
barracudamvc.csv,0.93,0.36,0.97,0.42,2.0,18
bdbbasic.csv,0.45,0.39,0.38,0.5,2.0,209
beast-mcmc.csv,0.69,0.46,0.51,0.44,1.0,415
benojt.csv,1.0,0.38,1.0,0.39,2.0,26
betoffice.csv,0.71,0.33,0.83,0.51,2.0,12
bibedt.csv,0.61,0.455,0.425,0.49,1.0,467
biodwh.csv,0.27,0.52,0.14500000000000002,0.69,1.0,601
bionote.csv,0.39,0.5,0.22,0.57,1.0,568
biopax.csv,0.98,0.4,0.95,0.4,2.0,80
bl-toolkit.csv,0.72,0.38,0.74,0.46,2.0,63
blogentis.csv,0.47,0.38,0.53,0.6,2.0,168
bloodycore.csv,0.15,0.385,0.14,0.85,2.0,536
blue-c.csv,0.77,0.43,0.63,0.48,2.0,340
bnetd.csv,0.765,0.39,0.69,0.42,2.0,124
bochs.csv,0.73,0.37,0.64,0.45,2.0,137
boost-sandbox.csv,0.48,0.36,0.53,0.58,2.0,125
boost.csv,0.63,0.47,0.425,0.47,2.0,473
botsnscouts.csv,0.64,0.47,0.43,0.4,1.0,420
brlcad.csv,0.29,0.46,0.2,0.71,2.0,567
bscwweasel.csv,0.3,0.44,0.22,0.71,2.0,541
buddata-ebxml-registry.csv,0.97,0.39,0.94,0.39,2.0,55
bullet.csv,0.54,0.38,0.54,0.51,2.0,130
bulmages.csv,0.15,0.31,0.11,0.67,3.0,220
bwapi.csv,0.97,0.385,0.97,0.41,2.0,43
calcubetimer.csv,0.69,0.39,0.62,0.46,2.0,155
capcode.csv,0.54,0.38,0.54,0.6,2.0,234
cascading.csv,0.71,0.435,0.53,0.43,2.0,330
chaosrts.csv,0.62,0.41,0.515,0.49,2.0,276
chaperon.csv,0.37,0.36,0.4,0.64,2.0,212
checker-framework.csv,0.83,0.395,0.76,0.435,2.0,142
chipster.csv,0.17,0.36,0.16,0.68,3.0,294
chrysalis.csv,0.6,0.48,0.4,0.43,1.0,457
cities3d.csv,0.32,0.41,0.23,0.575,2.0,375
clamav.csv,0.72,0.44,0.55,0.4,2.0,290
cleartk.csv,0.79,0.39,0.74,0.46,2.0,141
cme.csv,0.0,0.0,0.0,0.0,59.0,3
co-ode-owl-plugins.csv,0.58,0.41,0.5,0.545,2.0,312
codeblocks.csv,0.47,0.49,0.31,0.49,1.0,488
codesmith.csv,0.66,0.37,0.69,0.51,2.0,87
columba.csv,0.61,0.47,0.42,0.39,1.0,384
continuum-ide.csv,0.21,0.42,0.175,0.79,2.0,550
cornerstone.csv,0.27,0.535,0.12,0.62,1.0,595
cortex-vfx.csv,0.42,0.5,0.27,0.58,1.0,565
crisscross.csv,0.94,0.39,0.9,0.42,2.0,89
critterding.csv,0.9,0.38,0.88,0.43,2.0,69
crux-framework.csv,0.3,0.405,0.26,0.705,2.0,465
ctrlr.csv,0.23,0.3,0.3,0.86,2.0,328
cubefs.csv,0.52,0.39,0.5,0.53,2.0,187
cuberok.csv,0.57,0.42,0.5,0.56,2.0,343
customsagetv.csv,0.31,0.48,0.19,0.62,1.0,554
customwars.csv,0.47,0.5,0.28,0.45,1.0,491
dataobjectsdotnet.csv,0.73,0.4,0.645,0.47,2.0,207
decidr.csv,0.85,0.4,0.77,0.41,2.0,133
delphilhlplib.csv,0.525,0.505,0.34,0.56,1.0,574
dspace-gsoc.csv,0.74,0.425,0.6,0.39,2.0,216
dsworkbench.csv,0.175,0.4,0.14,0.835,2.0,557
dvd-create.csv,0.77,0.42,0.65,0.42,2.0,219
dvt.csv,0.43,0.41,0.365,0.58,2.0,344
dxengine.csv,0.27,0.38,0.265,0.65,2.0,299
dynalloy.csv,0.645,0.38,0.64,0.56,2.0,188
e-bio-flow.csv,0.38,0.46,0.24,0.6,2.0,518
echongl.csv,0.54,0.43,0.46,0.55,2.0,369
elateportal.csv,0.73,0.41,0.62,0.43,2.0,206
electric-core.csv,0.72,0.44,0.57,0.46,2.0,346
elmo.csv,0.6,0.4,0.55,0.53,2.0,241
elvishrayrenderer.csv,0.43,0.405,0.37,0.57,2.0,310
emeraldemu.csv,0.5,0.47,0.335,0.57,1.0,535
emftriple.csv,0.18,0.28,0.29,0.89,3.0,272
emisview.csv,0.11499999999999999,0.33,0.06,0.605,3.0,197
emono.csv,0.72,0.39,0.73,0.48,2.0,108
empserver.csv,0.78,0.4,0.71,0.45,2.0,165
empyrean.csv,0.0,0.0,0.0,0.0,97.5,0
emulemorph.csv,0.015,0.165,0.0,0.5,6.5,8
encog-cs.csv,0.63,0.38,0.6,0.47,2.0,114
encog-java.csv,0.13,0.5,0.07,0.75,1.0,594
enlightenment.csv,1.0,0.39,1.0,0.4,2.0,41
enzo.csv,0.92,0.39,0.9,0.4,2.0,56
esmf.csv,0.69,0.41,0.625,0.51,2.0,251
etherboot.csv,0.56,0.24,0.335,0.38,6.0,14
