,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.46,0.74,1.05,0.75,0.76,1.01,0.77,0.83,0.9,0.91,0.9,0.64
bigdata.csv,0.77,0.55,0.79,0.73,0.55,0.73,0.8,0.74,0.74,0.59,0.68,0.54
calcubetimer.csv,0.76,0.68,0.62,0.91,0.44,0.14,1.0,0.45,0.93,0.8,1.0,0.66
jas.csv,0.77,0.79,0.43,0.93,0.58,1.27,0.62,0.82,0.5,0.7,0.17,0.81
jbpm.csv,0.9,0.97,0.91,1.0,0.25,1.0,1.0,0.92,1.0,0.91,1.01,0.93
jgossipforum.csv,0.8,0.63,0.52,0.85,0.87,0.72,0.07,0.64,0.43,0.82,1.0,0.6
joustsim.csv,0.78,0.73,0.85,0.69,0.39,0.53,0.27,0.11,0.6,0.58,0.49,0.61
madman.csv,0.81,0.8,0.81,1.0,0.97,0.76,0.91,0.75,0.22,0.91,0.87,0.96
mule.csv,0.74,0.52,0.8,0.76,0.45,0.51,1.01,0.41,0.86,0.72,1.01,0.56
nunit.csv,0.9,0.68,0.72,0.59,0.65,0.86,0.38,0.68,1.04,0.62,0.76,0.42
piccolo2d.csv,0.8,0.67,0.5,0.28,0.45,0.52,0.8,0.44,0.35,0.77,1.0,0.62
sblim.csv,0.89,0.67,0.27,0.44,0.68,0.79,1.01,0.47,0.71,0.9,1.01,0.68
