,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.49,0.45,0.49,0.54,0.46,0.54,0.47,0.52,0.5,0.45,0.44,0.44,0.58,0.67
emeraldemu.csv,0.54,0.56,0.83,0.6,0.64,0.75,0.4,0.7,0.59,0.55,0.59,0.78,0.78,0.94
frogatto.csv,0.38,0.39,0.49,0.44,0.4,0.44,0.36,0.47,0.36,0.5,0.4,0.47,0.42,0.43
grafx2.csv,0.42,0.44,0.56,0.51,0.49,0.45,0.38,0.5,0.37,0.44,0.39,0.6,0.39,0.51
jahshakafx.csv,0.49,0.55,0.69,0.71,0.7,0.71,0.74,0.93,0.75,0.6,0.53,0.7,0.88,0.72
nassp.csv,0.6,0.69,0.86,0.71,0.81,0.95,0.68,0.54,0.69,0.89,0.8,0.58,0.86,0.93
netatalk.csv,0.43,0.45,0.54,0.56,0.55,0.72,0.45,0.61,0.55,0.49,0.45,0.83,0.69,0.94
open-beos.csv,0.44,0.51,0.67,0.54,0.52,0.59,0.42,0.56,0.56,0.66,0.46,0.52,0.47,0.68
psycle.csv,0.47,0.45,0.54,0.49,0.36,0.43,0.33,0.38,0.35,0.46,0.39,0.46,0.41,0.37
quantlib.csv,0.93,0.89,0.94,0.97,0.99,0.98,0.93,0.78,0.73,0.8,0.94,0.71,0.67,0.96
reaper-ecad.csv,0.53,1.0,0.96,0.59,0.6,0.59,0.53,0.97,0.48,0.87,0.55,0.54,0.57,0.95
sbml.csv,0.48,0.6,0.47,0.46,0.44,0.38,0.33,0.0,0.41,0.0,0.38,0.41,0.41,0.46
unimrcp.csv,0.5,0.68,0.96,0.65,0.74,0.88,0.79,0.63,0.67,0.53,0.88,0.55,0.75,0.92
unladen-swallow.csv,0.98,1.0,0.82,0.59,0.72,0.56,0.88,0.64,0.83,0.8,0.64,0.62,0.69,0.54
