,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.6,0.68,0.68,0.53,0.65,0.55,0.97,0.53,0.79,0.64,0.64,0.66,0.5,0.57
emeraldemu.csv,0.5,0.53,0.38,0.36,0.93,0.34,0.44,0.46,0.46,0.42,0.39,0.41,0.41,0.34
frogatto.csv,0.83,0.76,0.45,0.55,0.67,0.62,0.59,0.58,0.4,0.54,0.65,0.95,0.63,0.45
grafx2.csv,0.7,0.67,0.42,0.42,0.67,0.55,0.55,0.57,0.78,0.96,0.63,0.41,0.77,0.36
jahshakafx.csv,0.97,0.56,0.33,0.27,0.51,0.36,0.33,0.35,0.37,0.33,0.47,0.46,0.34,0.14
nassp.csv,0.47,0.39,0.25,0.28,0.41,0.13,0.31,0.56,1.0,0.25,0.29,0.44,0.34,0.29
netatalk.csv,0.69,0.69,0.72,0.45,0.63,0.37,0.52,0.46,0.82,0.64,0.54,0.29,0.94,0.25
open-beos.csv,0.65,0.56,0.43,0.49,0.59,0.94,0.49,0.52,0.61,0.49,0.55,0.48,0.53,0.37
psycle.csv,0.68,0.67,0.3,0.98,0.55,0.62,0.52,0.67,0.59,0.75,0.67,0.61,0.71,0.53
quantlib.csv,0.25,0.32,0.2,0.19,0.28,0.2,0.26,0.38,0.38,0.25,0.24,0.38,0.17,0.97
reaper-ecad.csv,0.65,0.23,0.97,0.53,0.6,0.56,0.52,0.18,0.65,0.34,0.51,0.53,0.66,0.25
sbml.csv,0.73,0.53,0.73,0.71,0.71,0.64,0.48,0.0,0.63,0.0,0.99,0.69,0.51,0.51
unimrcp.csv,0.57,0.42,0.29,0.36,0.46,0.28,0.28,0.97,0.62,0.4,0.25,0.49,0.25,0.1
unladen-swallow.csv,0.16,0.6,0.24,0.37,0.36,0.44,0.07,0.42,0.2,0.42,0.36,0.37,0.3,0.67
