,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.44,0.35,0.28,0.26,0.47,0.21,0.0,0.43,0.35,0.34,0.44,0.42,0.5,0.27
emeraldemu.csv,0.81,0.19,0.1,0.14,0.0,0.08,0.83,0.16,0.26,0.11,0.09,0.15,0.11,0.11
frogatto.csv,0.36,0.49,0.35,0.23,0.55,0.38,0.6,0.66,0.87,0.79,0.59,0.0,0.39,0.6
grafx2.csv,0.28,0.35,0.25,0.11,0.24,0.37,0.57,0.49,0.52,0.0,0.56,0.06,0.32,0.37
jahshakafx.csv,0.01,0.23,0.23,0.05,0.13,0.14,0.19,0.08,0.26,0.08,0.06,0.24,0.11,0.23
nassp.csv,0.13,0.15,0.1,0.05,0.14,0.03,0.19,0.16,0.02,0.0,0.03,0.15,0.08,0.08
netatalk.csv,0.21,0.36,0.46,0.23,0.22,0.12,0.3,0.16,0.22,0.39,0.31,0.09,0.0,0.14
open-beos.csv,0.28,0.27,0.18,0.18,0.4,0.01,0.68,0.46,0.24,0.53,0.44,0.27,0.26,0.31
psycle.csv,0.6,0.62,0.92,0.02,0.78,0.64,0.81,0.66,0.78,0.5,0.66,0.48,0.58,0.74
quantlib.csv,0.09,0.13,0.07,0.12,0.14,0.09,0.09,0.12,0.15,0.03,0.03,0.15,0.03,0.0
reaper-ecad.csv,0.54,0.24,0.0,0.72,0.49,0.56,0.34,0.34,0.41,0.79,0.66,0.61,0.66,0.16
sbml.csv,0.53,0.67,0.51,0.42,0.4,0.5,0.83,0.0,0.61,0.0,0.03,0.39,0.79,0.44
unimrcp.csv,0.2,0.14,0.1,0.13,0.11,0.08,0.15,0.01,0.11,0.11,0.03,0.12,0.03,0.12
unladen-swallow.csv,0.13,0.03,0.52,0.86,0.5,0.68,0.11,0.64,0.09,0.66,0.75,0.82,0.66,0.52
