,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.79,0.92,0.78,0.49,0.9,0.84,1.0,0.87,0.89,0.65
flylegacy.csv,0.68,0.63,0.42,0.62,0.74,0.92,0.63,0.78,1.0,0.97
ftm.csv,0.67,0.85,0.63,0.71,0.83,0.85,0.85,0.48,0.46,0.53
jcache.csv,0.71,0.48,0.73,0.74,0.74,0.61,0.76,0.92,0.75,0.17
lphant.csv,0.78,0.48,0.57,0.7,0.74,0.48,0.66,0.38,0.71,0.35
minig.csv,0.81,1.0,0.96,0.91,0.94,0.42,0.81,1.0,0.91,0.41
mob-sen-plat.csv,0.73,0.31,0.87,0.74,0.79,0.72,0.61,0.58,0.74,0.5
raygina.csv,0.35,1.01,0.71,0.77,0.82,0.64,0.66,0.88,0.89,0.65
upp-mirror.csv,0.77,0.91,0.75,0.56,0.45,0.75,0.85,0.79,0.61,0.54
yarp.csv,0.81,1.0,0.79,0.96,1.0,0.74,0.53,0.85,0.98,0.74
