,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.93,0.83,0.95,0.78,0.92,0.94,0.0,0.83,0.93,0.79
flylegacy.csv,0.51,0.63,0.5,0.59,0.58,0.45,0.68,0.65,0.42,0.58
ftm.csv,0.65,0.8,0.52,0.74,0.95,0.91,0.75,0.43,0.46,0.5
jcache.csv,0.37,0.45,0.35,0.49,0.54,0.51,0.62,0.35,0.7,0.41
lphant.csv,0.36,0.34,0.36,0.36,0.36,0.41,0.41,0.45,0.36,0.38
minig.csv,0.53,0.34,0.38,0.38,0.49,0.43,0.62,0.35,0.94,0.44
mob-sen-plat.csv,0.4,0.34,0.34,0.39,0.31,0.45,0.42,0.42,0.33,0.45
raygina.csv,0.5,0.67,0.51,0.41,0.79,0.68,0.42,0.35,0.93,0.57
upp-mirror.csv,0.52,0.8,0.33,0.49,0.34,0.52,0.8,0.73,0.57,0.57
yarp.csv,0.9,0.0,0.94,0.97,0.5,0.75,0.5,0.91,0.67,0.92
