,igarden.csv,megasquirtavr.csv,piccolo2d.csv,wxlua.csv,tolven.csv,owlapi.csv,ingex.csv,twostep.csv,servicestack.csv
igarden.csv,0.51,0.65,0.51,0.9,0.56,0.78,0.73,0.89,0.94
ingex.csv,0.83,0.77,0.69,0.92,0.69,0.53,0.55,0.68,0.72
megasquirtavr.csv,0.74,0.48,0.7,0.84,0.88,0.72,0.84,1.09,0.89
owlapi.csv,0.81,0.85,0.9,0.83,0.48,0.29,0.66,0.81,0.86
piccolo2d.csv,0.84,0.9,0.31,0.95,0.44,0.73,0.67,0.73,0.82
servicestack.csv,0.86,1.0,0.72,0.95,0.65,0.51,0.74,0.81,0.32
tolven.csv,0.58,0.63,0.47,0.91,0.36,0.48,0.64,0.66,0.83
twostep.csv,0.69,0.48,0.91,0.81,0.66,0.73,0.77,0.19,0.39
wxlua.csv,0.71,0.88,0.77,0.63,0.89,0.98,0.87,0.85,0.86
