,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.75,0.47,0.89,0.88,0.5,0.93,0.0,0.52,0.0,0.0
bibedt.csv,0.58,0.49,0.83,0.9,0.76,0.65,0.63,0.38,0.91,0.47
cascading.csv,0.46,0.37,0.62,0.83,0.0,0.58,0.62,0.64,0.41,0.46
firebreath.csv,0.42,0.83,0.47,0.6,0.0,0.53,0.43,0.49,0.45,0.42
fritzing.csv,0.47,0.47,0.52,0.54,0.89,0.45,0.8,0.4,0.55,0.52
httpcontentparser.csv,0.97,0.0,0.68,0.86,0.88,0.63,0.42,0.55,0.54,0.6
mpgravity.csv,0.43,0.0,0.43,0.43,0.67,0.47,0.39,0.34,0.4,0.45
patterntesting.csv,0.43,0.39,0.41,0.57,0.89,0.46,0.36,0.35,0.4,0.43
roller.csv,0.52,0.66,0.45,0.6,0.68,0.49,0.45,0.44,0.4,0.46
xfce.csv,0.61,0.35,0.45,0.44,0.4,0.48,0.38,0.33,0.44,0.41
