,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.26,0.7,0.03,0.13,0.17,0.0,0.0,0.48,0.0,0.01
bibedt.csv,0.47,0.52,0.08,0.3,0.42,0.55,0.6,0.88,0.24,0.68
cascading.csv,0.76,0.74,0.58,0.37,0.08,0.65,0.5,0.32,0.76,0.55
firebreath.csv,0.88,0.19,0.72,0.53,0.0,0.8,0.8,0.59,0.83,0.61
fritzing.csv,0.74,0.56,0.48,0.57,0.25,1.0,0.1,0.79,0.34,0.41
httpcontentparser.csv,0.19,0.0,0.32,0.17,0.17,0.85,0.7,0.49,0.54,0.36
mpgravity.csv,1.0,0.02,0.93,1.0,0.75,0.95,1.0,0.99,0.92,0.84
patterntesting.csv,0.99,0.89,0.95,0.63,0.42,1.0,0.9,0.99,0.98,0.88
roller.csv,0.78,0.43,0.93,0.5,0.42,1.0,0.9,0.72,0.87,0.99
xfce.csv,0.43,0.74,0.88,1.0,0.67,0.85,0.6,0.88,0.75,0.68
