,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.22,0.35,0.07,0.6,0.0,0.09,0.0,0.92,0.03,0.0
bibedt.csv,0.25,0.44,0.01,0.02,0.29,0.23,0.32,0.59,0.12,0.48
cascading.csv,0.56,0.56,0.4,0.02,0.0,0.49,0.27,0.18,0.45,0.31
firebreath.csv,0.62,0.27,0.38,0.09,0.0,0.51,0.49,0.18,0.79,0.3
fritzing.csv,0.3,0.35,0.28,0.15,0.15,0.83,0.22,0.51,0.33,0.14
httpcontentparser.csv,0.23,0.02,0.29,0.04,0.15,0.25,0.46,0.27,0.55,0.09
mpgravity.csv,0.99,0.0,0.78,0.98,0.22,0.83,1.0,0.8,1.0,0.68
patterntesting.csv,0.82,0.81,0.9,0.19,0.1,0.96,0.73,0.98,0.94,0.81
roller.csv,0.58,0.5,0.74,0.11,0.34,0.85,0.85,0.2,0.73,0.99
xfce.csv,0.32,0.77,0.88,1.0,0.9,0.63,0.68,0.75,0.67,0.38
