,cuberok.csv,gpsmid.csv,yafdotnet.csv,lphant.csv,xtreemfs.csv,glas.csv,javagroups.csv,jvcl.csv
cuberok.csv,0.62,0.7,0.58,0.57,0.77,0.3,0.37,0.17
glas.csv,0.49,0.69,0.54,0.55,0.79,0.6,0.51,0.16
gpsmid.csv,0.43,0.84,0.58,0.57,0.91,0.52,0.52,0.17
javagroups.csv,0.44,0.41,0.46,0.56,0.78,0.42,0.63,0.16
jvcl.csv,0.39,0.61,0.24,0.55,0.12,0.21,0.07,0.32
lphant.csv,0.45,0.79,0.55,0.71,0.66,0.57,0.53,0.2
xtreemfs.csv,0.56,0.75,0.6,0.54,0.9,0.41,0.46,0.17
yafdotnet.csv,0.49,0.74,0.69,0.58,0.42,0.43,0.55,0.2
