,cuberok.csv,gpsmid.csv,yafdotnet.csv,lphant.csv,xtreemfs.csv,glas.csv,javagroups.csv,jvcl.csv
cuberok.csv,0.58,0.65,0.42,0.4,0.86,0.3,0.29,0.1
glas.csv,0.48,0.93,0.6,0.52,0.9,0.57,0.38,0.1
gpsmid.csv,0.34,0.89,0.5,0.4,0.92,0.39,0.37,0.09
javagroups.csv,0.39,0.87,0.6,0.41,0.93,0.34,0.58,0.09
jvcl.csv,0.42,0.88,0.52,0.82,0.91,0.45,0.2,0.22
lphant.csv,0.41,0.69,0.58,0.7,0.85,0.46,0.36,0.11
xtreemfs.csv,0.4,0.7,0.49,0.4,0.95,0.45,0.33,0.1
yafdotnet.csv,0.53,0.75,0.69,0.5,0.73,0.54,0.4,0.11
