,cuberok.csv,gpsmid.csv,yafdotnet.csv,lphant.csv,xtreemfs.csv,glas.csv,javagroups.csv,jvcl.csv
cuberok.csv,0.31,0.53,0.95,1.0,0.61,0.47,0.7,0.92
glas.csv,0.34,0.05,0.23,0.36,0.41,0.31,0.66,0.43
gpsmid.csv,0.71,0.13,0.5,1.0,0.39,0.78,0.8,0.87
javagroups.csv,0.49,0.05,0.17,0.82,0.28,0.75,0.26,0.62
jvcl.csv,0.31,0.08,0.11,0.06,0.03,0.11,0.09,0.22
lphant.csv,0.46,0.53,0.26,0.21,0.52,0.6,0.92,0.72
xtreemfs.csv,0.86,0.45,0.56,0.82,0.23,0.31,0.83,0.55
yafdotnet.csv,0.26,0.32,0.23,0.45,0.59,0.2,0.7,0.59
