,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,geochat.csv
adaptagrams.csv,1.0,0.88,0.53,0.66,0.5,0.27
aime.csv,0.19,0.69,0.11,0.06,0.86,0.27
badtrinitycore.csv,0.31,0.0,0.24,0.89,0.36,0.43
electric-core.csv,0.69,0.68,0.94,0.64,0.79,0.3
geochat.csv,0.85,0.88,0.46,0.38,0.5,0.87
olsrd.csv,0.96,0.99,0.77,0.85,0.79,0.67
