,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.71,0.52,0.58,0.43,0.63,0.84,0.78,0.81,0.58,0.86,0.48,0.8,0.82,0.78,0.89,0.67
betoffice.csv,0.63,0.93,0.75,0.89,1.02,0.87,0.97,0.64,0.9,0.88,0.88,0.89,0.93,0.74,0.87,0.71
bionote.csv,0.71,0.37,0.7,0.75,0.8,0.96,0.86,0.81,0.66,0.75,0.82,0.79,0.26,0.69,0.71,0.75
bnetd.csv,0.94,1.0,0.89,0.66,0.85,0.6,0.81,1.0,0.69,0.69,0.4,1.0,0.7,0.99,0.89,0.81
elvishrayrenderer.csv,0.64,0.64,0.95,0.54,0.39,0.37,0.9,0.96,0.8,0.75,0.64,0.8,0.48,0.69,0.49,0.32
emisview.csv,0.75,1.0,0.72,0.62,0.57,0.38,0.78,0.9,0.51,0.99,0.6,0.85,0.57,0.81,0.62,0.88
hazelcast.csv,0.85,0.51,0.46,0.67,0.05,0.87,0.75,0.67,0.83,0.68,0.62,0.7,0.68,0.69,0.57,0.63
jitterbit.csv,1.0,0.58,0.77,0.61,0.91,0.76,0.69,0.92,0.34,0.82,0.92,0.67,0.86,0.79,0.8,0.57
jppf-project.csv,1.05,0.79,0.86,0.8,0.92,0.97,0.76,0.85,0.89,0.94,0.86,0.44,0.78,0.72,0.66,0.94
l2j.csv,0.84,0.56,0.63,0.58,0.36,0.73,0.81,0.68,0.7,0.62,0.51,0.85,0.89,0.44,0.69,0.69
megasquirtavr.csv,0.84,1.0,0.52,0.73,1.0,1.0,0.72,0.71,0.68,0.83,0.55,0.67,0.97,0.92,0.88,0.91
stajistics.csv,0.7,0.96,1.0,1.0,0.39,0.96,0.96,0.62,0.8,0.88,0.92,1.0,0.89,0.71,0.51,0.72
trackit.csv,0.89,1.02,0.82,0.76,0.73,0.7,0.57,0.98,0.74,0.77,1.05,0.91,1.0,0.98,0.78,0.97
wxlua.csv,0.8,0.93,0.88,0.9,1.0,0.86,0.78,1.0,0.63,0.63,0.97,0.9,0.72,0.82,0.82,0.82
x4x.csv,0.36,0.78,0.59,0.67,0.78,0.51,0.85,0.79,0.74,0.71,0.63,0.94,0.85,0.86,0.69,0.75
xharbour.csv,0.93,0.25,0.74,0.59,0.42,0.75,0.57,0.77,0.68,0.7,0.86,0.88,0.52,0.69,0.71,0.6
