,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,1.0,0.16,0.62,0.21,0.54,0.24,0.68,0.0,0.61,0.96,0.56,0.31,0.65,0.27,0.56,0.53,0.43,0.65
fbmanager.csv,0.0,0.54,0.44,1.0,0.57,0.67,0.7,0.61,0.58,0.44,0.64,0.38,0.76,0.55,0.71,0.76,0.55,0.62
freenet.csv,0.0,0.54,0.66,0.32,0.74,0.61,0.98,0.39,0.55,0.67,0.55,0.75,0.32,0.18,0.53,0.65,0.51,0.58
geogebra.csv,0.0,0.15,0.28,0.0,0.63,0.24,0.57,0.11,0.29,0.37,0.27,0.25,0.41,0.09,0.26,0.18,0.7,0.94
google-caja.csv,1.0,0.51,0.84,0.76,0.52,0.55,0.63,0.56,0.95,0.89,0.99,0.62,0.79,0.55,0.94,0.82,0.75,0.83
hibernate.csv,0.0,0.22,0.66,0.24,0.67,0.16,0.49,0.28,0.29,0.41,0.29,0.38,0.35,0.36,0.53,0.12,0.96,0.6
illumination.csv,0.0,0.09,0.12,0.18,0.26,0.06,0.13,0.17,0.13,0.37,0.29,0.0,0.21,0.18,0.12,0.94,0.08,0.17
kindb.csv,1.0,0.49,0.5,0.47,0.61,0.35,0.51,0.89,0.71,0.52,0.6,0.62,0.97,0.55,0.76,0.35,0.5,0.77
officefloor.csv,1.0,0.21,0.47,0.44,0.7,0.16,0.52,0.06,0.92,0.33,0.51,0.25,0.76,0.55,0.26,0.12,0.52,0.26
paintown.csv,0.0,0.96,0.41,0.41,0.74,0.55,0.66,0.5,0.66,0.59,0.6,0.5,0.68,0.45,0.59,0.24,0.62,0.73
poormans.csv,1.0,0.46,0.5,0.18,0.52,0.55,0.58,0.11,0.45,0.3,0.28,0.31,0.06,0.0,0.97,0.41,0.3,0.48
qlc.csv,0.0,0.16,0.19,0.15,0.13,0.14,0.11,0.94,0.0,0.11,0.05,0.06,0.09,0.09,0.09,0.0,0.04,0.23
repositorium.csv,1.0,0.29,0.91,0.41,0.93,0.49,0.81,0.06,0.74,0.93,0.82,0.69,0.44,1.0,0.71,0.47,0.48,0.76
sevenupdate.csv,0.0,0.99,0.75,1.0,0.91,1.0,0.85,1.0,0.87,0.81,0.71,1.0,1.0,1.0,0.97,1.0,0.78,0.68
sqlpower-library.csv,1.0,0.85,0.69,0.88,1.0,0.84,0.88,0.94,0.95,0.63,0.76,0.81,0.76,0.45,0.91,1.0,0.73,0.76
triplea.csv,0.0,0.71,1.0,0.5,0.76,0.65,0.78,0.5,0.68,0.56,0.65,0.69,0.74,0.27,0.71,0.71,0.58,0.64
yarp0.csv,0.0,0.34,0.41,0.41,0.54,0.37,0.72,0.39,0.47,0.48,0.44,0.94,0.59,0.27,0.41,0.18,0.59,0.5
